,ID,poem_author,language,original_poem,light_clean_poem,theme
218,227,Kateryna Kalytko,Ukrainian,"Цю самотність могли би звати Естер або Міріам.
З немовлячим плачем лягають у землю полки.
Між води та солі давно затісно словам.
Під приспущеним прапором регочуть сотні хрипких
нетутешніх пельок, скалками мови поколотих.
Ця самотність холодна, розверста й така бездонна,
що й чужак не бере. 
Неприкаяні діти зі школи
вибрідають, стоять над морем, як перед судом.
Тріскотить у повітрі зв’язку пересохле гілля,
хтось уперто вигукує позивний попелища.
Цю самотність могли би звати Селіма або Севгіль,
імена залишених солоні й завжди найглибші.
І виходить вона, нервово пальцями мне
чорний вузол хустини, губи в неї бліді:
хто це, каже. Прийом, чи хтось іще чує нас?
Щойно хтось викликав нас і називав імена.
Ну ж бо, синку, прийом, послухай мене, мене:
всі пішли із берега, пошукай у воді.","Цю самотність могли би звати Естер або Міріам. З немовлячим плачем лягають у землю полки. Між води та солі давно затісно словам. Під приспущеним прапором регочуть сотні хрипких нетутешніх пельок, скалками мови поколотих. Ця самотність холодна, розверста й така бездонна, що й чужак не бере.  Неприкаяні діти зі школи вибрідають, стоять над морем, як перед судом. Тріскотить у повітрі зв’язку пересохле гілля, хтось уперто вигукує позивний попелища. Цю самотність могли би звати Селіма або Севгіль, імена залишених солоні й завжди найглибші. І виходить вона, нервово пальцями мне чорний вузол хустини, губи в неї бліді: хто це, каже. Прийом, чи хтось іще чує нас? Щойно хтось викликав нас і називав імена. Ну ж бо, синку, прийом, послухай мене, мене: всі пішли із берега, пошукай у воді.","{'water', 'loneliness'}"
223,234,Boris Khersonsky,Russian,"***
Берегу твой сон, потому что всегда хотел
быть одним из героев твоих сновидений, одним из тел,
приведенных в движенье силой твоего воображенья,
не подвластным законам логики, притяженья,
молодым, безмозглым - даром, что поседел.
Сама рассуди - для чего тебе хмурый дед,
в перспективе - старец, инвалид, дармоед,
себе под нос бормочущий чьи-то строки,
проклинающий молодость, ее грехи и пороки,
под бока подтыкающий старый плед.
Лучше быть прозрачным видением, вовлеченным в полет или бег,
двугорбым верблюдом, входящим в Ноев ковчег,
кентавром, топчущим заливные луга Эллады,
трагической тенью на фоне мировой клоунады,
пушкинским Черномором, выходящим на сонный брег.
В общем я верю, что в снах твоих у меня
больше шансов, чем при свете жаркого летнего дня,
под отцветшей вишней на облезлой кушетке дачной
тяжело возлежащего с гримасою мрачной -
только тревожных мыслей броуновская толкотня.","*** Берегу твой сон, потому что всегда хотел быть одним из героев твоих сновидений, одним из тел, приведенных в движенье силой твоего воображенья, не подвластным законам логики, притяженья, молодым, безмозглым - даром, что поседел. Сама рассуди - для чего тебе хмурый дед, в перспективе - старец, инвалид, дармоед, себе под нос бормочущий чьи-то строки, проклинающий молодость, ее грехи и пороки, под бока подтыкающий старый плед. Лучше быть прозрачным видением, вовлеченным в полет или бег, двугорбым верблюдом, входящим в Ноев ковчег, кентавром, топчущим заливные луга Эллады, трагической тенью на фоне мировой клоунады, пушкинским Черномором, выходящим на сонный брег. В общем я верю, что в снах твоих у меня больше шансов, чем при свете жаркого летнего дня, под отцветшей вишней на облезлой кушетке дачной тяжело возлежащего с гримасою мрачной - только тревожных мыслей броуновская толкотня.","{'pushkin', 'noahs ark', 'dreams'}"
226,237,Oleksandr Irvanets,Ukrainian,"АНТИАМЕРИКАНСЬКЕ
***
Заокеанські амбали - дебіли. 
Кого не треба - вони бомбили. 
А кого треба - вони не бомблять. 
Риму придумайте, дітки, самі.","АНТИАМЕРИКАНСЬКЕ *** Заокеанські амбали - дебіли.  Кого не треба - вони бомбили.  А кого треба - вони не бомблять.  Риму придумайте, дітки, самі.","{'change to us', 'anti-american'}"
230,241,Boris Khersonsky,Russian,"* * * 
Вот уже восемь лет Империей правит труп,
объявивший себя бессмертным,
но нарушивший свой указ.
В сохранение тела вложен немалый труд:
два берилла мерцают под веками вместо глаз.
Сколько прекрасных роз жернова перетрут,
чтобы капля масла упала в одну из нефритовых ваз!
В первый день новолуния его погружают в бальзам,
восполняют выпады воском, накладывают грим.
Жены играют на цитрах «Нет скончанья слезам»,
а мы стоим в стороне, между собой говорим.
Великий Дракон, вознесший Поднебесную к небесам,
не понимает сам, что происходит с ним.
Впрочем, даже живым несладко в такую жару.
Сосланным легче: по слухам, там погода свежа. 
Я поднимусь наверх, постою на сухом ветру,
на круглой площадке, на уровне третьего этажа,
погляжу на россыпь флажков по травяному ковру,
послушаю пенье рожков с ближнего рубежа. 
(март, 1999)","* * *  Вот уже восемь лет Империей правит труп, объявивший себя бессмертным, но нарушивший свой указ. В сохранение тела вложен немалый труд: два берилла мерцают под веками вместо глаз. Сколько прекрасных роз жернова перетрут, чтобы капля масла упала в одну из нефритовых ваз! В первый день новолуния его погружают в бальзам, восполняют выпады воском, накладывают грим. Жены играют на цитрах «Нет скончанья слезам», а мы стоим в стороне, между собой говорим. Великий Дракон, вознесший Поднебесную к небесам, не понимает сам, что происходит с ним. Впрочем, даже живым несладко в такую жару. Сосланным легче: по слухам, там погода свежа.  Я поднимусь наверх, постою на сухом ветру, на круглой площадке, на уровне третьего этажа, погляжу на россыпь флажков по травяному ковру, послушаю пенье рожков с ближнего рубежа.  ","{'ruler', 'corpse', 'empire'}"
238,249,Boris Khersonsky,Russian,"***
Вот, перешли Рубикон, перенесли столбы,
натянули проволоку, поставили часовых.
Эту затею придумали высокие умные лбы.
Эти лбы прострелены. Никого не осталось в живых.

Рубикон превратился в пересыхающий ручеек.
Жребий брошен в кусты, никто его не искал.
Легионеры дерутся - делят дневной паек.
Империя скалит пасть, но это - беззубый оскал.

Пока воевали снаружи, все рухнуло изнутри,
дворцы пусты и загажены, храмы осквернены.
Выход один - подождать тысячелетия три,
и станет туризм спасением для развалин этой страны.","*** Вот, перешли Рубикон, перенесли столбы, натянули проволоку, поставили часовых. Эту затею придумали высокие умные лбы. Эти лбы прострелены. Никого не осталось в живых.  Рубикон превратился в пересыхающий ручеек. Жребий брошен в кусты, никто его не искал. Легионеры дерутся - делят дневной паек. Империя скалит пасть, но это - беззубый оскал.  Пока воевали снаружи, все рухнуло изнутри, дворцы пусты и загажены, храмы осквернены. Выход один - подождать тысячелетия три, и станет туризм спасением для развалин этой страны.","{'rubicon', 'empire', 'ruins'}"
239,250,Boris Khersonsky,Russian,"Ходит дух Премудрости в тщетных поисках пары,
но кроме духа Уныния не видит иного лица.
Колесо обозрения не лучше, чем колесо Сансары,
всего, что содержит идею вращающегося колеса.

И что там твоя Дхаммапада, и что там твоя Ригведа,
и кто такой Кохелет с ветром на круги своя?
Мальчик. владелец трехколесного велосипеда,
медленное движение в направлении небытия.","Ходит дух Премудрости в тщетных поисках пары, но кроме духа Уныния не видит иного лица. Колесо обозрения не лучше, чем колесо Сансары, всего, что содержит идею вращающегося колеса.  И что там твоя Дхаммапада, и что там твоя Ригведа, и кто такой Кохелет с ветром на круги своя? Мальчик. владелец трехколесного велосипеда, медленное движение в направлении небытия.","{'', 'sadness', 'samsara', 'wisdom'}"
245,257,Marianna Kijanowska,Ukrainian,"брами просто над нами
не сказати словами
ні ранку того ні рани
богдане богдане
лише прочанин 
засіє
поле Твоє 
Месіє
майбутнє цілком відчиниться
і навіть мале й піщане
одним з милосердь учиниться
ключ Божий богдан сольчаник
час обернеться тричі
ключ залишиться у замку
вітер повіє 
голос покличе
богдане! сольчанику!
настане година 
ключ
візьме як меч обіруч 
Месія
і засіЯ
кожне живе тепло
завше теплом було
впала сльоза на скло
і пропалила тло
небо і серце",брами просто над нами не сказати словами ні ранку того ні рани богдане богдане лише прочанин  засіє поле Твоє  Месіє майбутнє цілком відчиниться і навіть мале й піщане одним з милосердь учиниться ключ Божий богдан сольчаник час обернеться тричі ключ залишиться у замку вітер повіє  голос покличе богдане! сольчанику! настане година  ключ візьме як меч обіруч  Месія і засіЯ кожне живе тепло завше теплом було впала сльоза на скло і пропалила тло небо і серце,"{'bohdan sochanik', 'heat', 'god', 'messiah'}"
252,264,Arkadii Shtypel,Russian,"трішечки підредагував-осучаснив радянського класика:
""тож нехай собі як знають
божеволіють конають
на своє робить:
все гімно до 'дної ями
холуїв за холуями
будем будем бить
будем будем бить!""
","трішечки підредагував-осучаснив радянського класика: ""тож нехай собі як знають божеволіють конають на своє робить: все гімно до 'дної ями холуїв за холуями будем будем бить будем будем бить!"" ","{'irony', 'soviet union', 'music', 'soviet anthem'}"
255,267,Vasyl Makhno,Ukrainian,"Сніг із білого крижма

я одне пам’ятаю: що там був сніг
пам’ятаю: що снігу був цілий сніп 
і що кури котили яйце-райце –
і в повітрі висіла небесна брама
і накрали злодії цукерок і краму
-провінція тобто райцентр –

я одне пам’ятав: що повітря з драбин
виживати -два хліба і п’ять рибин -
щоб піймати попутку на трасі
заселяли повітря крамниці й купці
а сміливці брели по зимній ріці
тобто в часі й понад часом

я згадав що дорогою до Чернівець
приходили міняйли й місцевий купець:
чорний перець міняли за страву
розтирали замерзлий у пучках Чигор
і завели нарешті в машині мотор
що зимове повітря стравить

якщо б знати погоду від наших курей
і осліплого пса і місцевих дітей
над Джуринкою в лисячій шубі
я б мабуть здогадався: що краще тоді
перебути життя у зимній воді
й відігрітись при кахлевій грубі

я себе пригадав за слідами куниць
наче сніг в моїм роті цукор топивсь
я чекав на купців: обіцяли вернутись
привезуть карамель медівник пластівці
що вони вже дісталися до Чернівців
що купили для мене андрути

я одне пам’ятаю: що все там було:
переламане в курки праве крило
три купці що ночують щотижня
і крамниці з цукерками в річці – кисіль
рік почнеться з Різдва а життя із весіль
сніг – із білого крижма",Сніг із білого крижма  я одне пам’ятаю: що там був сніг пам’ятаю: що снігу був цілий сніп  і що кури котили яйце-райце – і в повітрі висіла небесна брама і накрали злодії цукерок і краму -провінція тобто райцентр –  я одне пам’ятав: що повітря з драбин виживати -два хліба і п’ять рибин - щоб піймати попутку на трасі заселяли повітря крамниці й купці а сміливці брели по зимній ріці тобто в часі й понад часом  я згадав що дорогою до Чернівець приходили міняйли й місцевий купець: чорний перець міняли за страву розтирали замерзлий у пучках Чигор і завели нарешті в машині мотор що зимове повітря стравить  якщо б знати погоду від наших курей і осліплого пса і місцевих дітей над Джуринкою в лисячій шубі я б мабуть здогадався: що краще тоді перебути життя у зимній воді й відігрітись при кахлевій грубі  я себе пригадав за слідами куниць наче сніг в моїм роті цукор топивсь я чекав на купців: обіцяли вернутись привезуть карамель медівник пластівці що вони вже дісталися до Чернівців що купили для мене андрути  я одне пам’ятаю: що все там було: переламане в курки праве крило три купці що ночують щотижня і крамниці з цукерками в річці – кисіль рік почнеться з Різдва а життя із весіль сніг – із білого крижма,{'snow'}
256,268,Boris Khersonsky,Russian,"Жгите, девочки, георгиевские ленты на Вечном огне.
Мойте, девочки, плиты героев разорванным флагом УПА.
Пламя возгорится ярче. Плиты будут чище.
И вы разойдетесь с обновленной и окрепшей
ненавистью друг к другу.","Жгите, девочки, георгиевские ленты на Вечном огне. Мойте, девочки, плиты героев разорванным флагом УПА. Пламя возгорится ярче. Плиты будут чище. И вы разойдетесь с обновленной и окрепшей ненавистью друг к другу.","{'st. george', 'upa', 'fire'}"
268,280,Oleksandr Irvanets,Ukrainian,"ПОНЕДІЛОК, 7 КВІТНЯ
***
Сьогодні нас москаль іще не з'їсть. 
Чи не у цьому й поляга Благая Вість?","ПОНЕДІЛОК, 7 КВІТНЯ *** Сьогодні нас москаль іще не з'їсть.  Чи не у цьому й поляга Благая Вість?","{'muscovite', 'russia'}"
270,282,Oleksandr Irvanets,Ukrainian,"ВІВТОРОК, 8 КВІТНЯ
***
Слова мої! Летіть ушир і ввись:
- Росіє! Ну будь ласка, 
ВІДГРЕБИСЬ!","ВІВТОРОК, 8 КВІТНЯ *** Слова мої! Летіть ушир і ввись: - Росіє! Ну будь ласка,  ВІДГРЕБИСЬ!","{'obscenity', 'russia'}"
278,290,Oleksandr Irvanets,Ukrainian,"16 КВІТНЯ 
***
Знає професор і пролетар, 
Той, хто їсть шаурму, й хто жує шампіньйон: 
Грають сьогодні ""Динамо"" й ""Шахтар"", 
Але при цьому ""Дніпро"" - чемпіон!","16 КВІТНЯ  *** Знає професор і пролетар,  Той, хто їсть шаурму, й хто жує шампіньйон:  Грають сьогодні ""Динамо"" й ""Шахтар"",  Але при цьому ""Дніпро"" - чемпіон!","{'ukraine', 'culture'}"
282,294,Oleksandr Irvanets,Ukrainian,"ЗІ СТРІЧКИ НОВИН
***
""НАТО випустить у море бойових дельфінів."" 
Не зляка це ні слов'ян, ані угро-фінів.","ЗІ СТРІЧКИ НОВИН *** ""НАТО випустить у море бойових дельфінів.""  Не зляка це ні слов'ян, ані угро-фінів.","{'nato', 'europe'}"
298,310,Serhii Zhadan,Ukrainian,"Вона ходить собі на стадіони й ринки,
ховаючи в куртці телефон і флягу.
І я готовий палити сусідські будинки,
щоби вона звернула на мене увагу.
#жадан #zhadan","Вона ходить собі на стадіони й ринки, ховаючи в куртці телефон і флягу. І я готовий палити сусідські будинки, щоби вона звернула на мене увагу.  ","{'women', 'woman', 'sexuality', 'markets', 'sex', 'money'}"
302,314,Nathalie Beltchenko,Russian,"* * *
Ирисы. Сердце в глубоком тылу.
Каждый – витражное влажное целое.
Сладкое ваше дыханье вберу
И затаенным дыханием сделаю.
Золоторунный сразился модерн
С наголо стриженной мглой оловянною.
Сколько к Нотр-Даму прильнуло химер –
Кочетов столько гребенчато вспрянуло.",* * * Ирисы. Сердце в глубоком тылу. Каждый – витражное влажное целое. Сладкое ваше дыханье вберу И затаенным дыханием сделаю. Золоторунный сразился модерн С наголо стриженной мглой оловянною. Сколько к Нотр-Даму прильнуло химер – Кочетов столько гребенчато вспрянуло.,"{'irises', 'europe', 'plants', 'notre dame', 'christianity'}"
311,323,Iryna Tsilyk,Ukrainian,"***
Перерахуй на п’ять касок і випий три шоти –
Ми так живем. Виживаєм, вірніше, тихцем.
Та не рятують кевларові майки і шорти
Від цього чорного літа з безоким лицем.
Run, Forrest, run. Ти ще можеш як мінімум бігти.
Втоптуй в асфальт ці даремні ненависть і страх,
Поки у мертвих військових волосся і нігті 
Вже проростають травою в донбаських степах.
Мчати на смерть, нагло віку собі вкоротити
Здатен не кожен. Ти здатен? – питання у лоб.
А на Майдані тепер продаються магніти,
Бій на Грушевського на холодильники щоб...
Знаєш, насправді, цукерки всі-всі без начинки,
І що не вибереш – втратиш ще більше, на жаль. 
А десь під ранок приходять нездійснені вчинки
Випити крові у наших вчорашніх бажань. 
Ми не втечемо від себе, куди правду діти.
Live, Forrest, live. Поки небо тебе береже.
Нам із тобою потрібно тепер народити
Тисячі хлопчиків... Тисячі, тисячі вже!
Просто біжи навпростець, будь спокійним і мудрим,
Поки війна із війною зминає траву.
І тільки місяць стікає блідим перламутром 
На закривавлено-макову передову...","*** Перерахуй на п’ять касок і випий три шоти – Ми так живем. Виживаєм, вірніше, тихцем. Та не рятують кевларові майки і шорти Від цього чорного літа з безоким лицем. Run, Forrest, run. Ти ще можеш як мінімум бігти. Втоптуй в асфальт ці даремні ненависть і страх, Поки у мертвих військових волосся і нігті  Вже проростають травою в донбаських степах. Мчати на смерть, нагло віку собі вкоротити Здатен не кожен. Ти здатен? – питання у лоб. А на Майдані тепер продаються магніти, Бій на Грушевського на холодильники щоб... Знаєш, насправді, цукерки всі-всі без начинки, І що не вибереш – втратиш ще більше, на жаль.  А десь під ранок приходять нездійснені вчинки Випити крові у наших вчорашніх бажань.  Ми не втечемо від себе, куди правду діти. Live, Forrest, live. Поки небо тебе береже. Нам із тобою потрібно тепер народити Тисячі хлопчиків... Тисячі, тисячі вже! Просто біжи навпростець, будь спокійним і мудрим, Поки війна із війною зминає траву. І тільки місяць стікає блідим перламутром  На закривавлено-макову передову...","{'ukraine', 'survival'}"
320,332,Julia Musakovska,Ukrainian,"не можу позбутися думки, що деякі тексти випереджають події та відчуття, які доведеться пережити у близькому майбутньому.
***
Поки я це пишу, ти ще поряд, стриманий і живий,
все незмінно: так само смакує їжа і пахнуть дині.
Палять зілля й папір на сусідських подвір'ях, і
палять ще бозна-що - тісно в грудях від цього диму.
Ти - не друг мені. Наші шляхи об'єдналися проти нас.
І листи у пляшках не торкнуться ні хвиль, ані адресатів.
Наростає в повітрі тугий запалений дисонанс,
але дихати важче і важче - не те що співати.
Ми так звикли мовчати, що видихаємо кров і пил.
Наші зморшки заповнені сміхом дитячим і сіллю моря.
Бачиш: листя суниці - тендітний вітрильник уже відплив,
осінь нас переслідує, вицвілих і нескорених.
Там, де срібні тарелі озер викидають риб,
сон у відрах несе голоси, мов замулену воду.
Поки я це пишу, ти ще поряд, 
а відстань вростає вглиб.
Розпускає коріння. І тріскає шкірка плоду.
2013
[intro до моєї книжки ""Полювання на тишу""]","не можу позбутися думки, що деякі тексти випереджають події та відчуття, які доведеться пережити у близькому майбутньому. *** Поки я це пишу, ти ще поряд, стриманий і живий, все незмінно: так само смакує їжа і пахнуть дині. Палять зілля й папір на сусідських подвір'ях, і палять ще бозна-що - тісно в грудях від цього диму. Ти - не друг мені. Наші шляхи об'єдналися проти нас. І листи у пляшках не торкнуться ні хвиль, ані адресатів. Наростає в повітрі тугий запалений дисонанс, але дихати важче і важче - не те що співати. Ми так звикли мовчати, що видихаємо кров і пил. Наші зморшки заповнені сміхом дитячим і сіллю моря. Бачиш: листя суниці - тендітний вітрильник уже відплив, осінь нас переслідує, вицвілих і нескорених. Там, де срібні тарелі озер викидають риб, сон у відрах несе голоси, мов замулену воду. Поки я це пишу, ти ще поряд,  а відстань вростає вглиб. Розпускає коріння. І тріскає шкірка плоду. 2013 [intro до моєї книжки ""Полювання на тишу""]","{'relationship', 'writing', 'literature', 'relationships', 'silence'}"
327,340,Iryna Tsilyk,Ukrainian,".Повертайся живим.
Ти, головне, повертайся додому,
Врешті знімай запилюжені берці
І вчися наново жити потому 
З перепрошитою вірою в серці.
Ти, головне, повертайся, здолавши
Чистого зла непрожований стогін,
І відпускай цю ненависть назавше
Посеред мирної тиші густої.
Ти, головне, повертайся тим шляхом, 
Що вбереже твої душу і тіло. 
Чорна земля із розпеченим пахом
Тільки дощу, а не крові хотіла.
Ти, головне, повертайся до мами.
Десь там сивіючи за видноколом, 
Матері тужать і дружать домами, 
Що пахнуть ніжністю та корвалолом.
Ти, головне, повертайся назовсім
І народи-посади-споруди, а
Вже у твоєму дітиську курносім 
Виросте радість, нова і правдива.
Ні, ця війна не потрібна нікому. 
Так, ми її не пробачимо, себто 
Перемагай і вертайся додому.
Просто живим повертайся, і все тут.",".Повертайся живим. Ти, головне, повертайся додому, Врешті знімай запилюжені берці І вчися наново жити потому  З перепрошитою вірою в серці. Ти, головне, повертайся, здолавши Чистого зла непрожований стогін, І відпускай цю ненависть назавше Посеред мирної тиші густої. Ти, головне, повертайся тим шляхом,  Що вбереже твої душу і тіло.  Чорна земля із розпеченим пахом Тільки дощу, а не крові хотіла. Ти, головне, повертайся до мами. Десь там сивіючи за видноколом,  Матері тужать і дружать домами,  Що пахнуть ніжністю та корвалолом. Ти, головне, повертайся назовсім І народи-посади-споруди, а Вже у твоєму дітиську курносім  Виросте радість, нова і правдива. Ні, ця війна не потрібна нікому.  Так, ми її не пробачимо, себто  Перемагай і вертайся додому. Просто живим повертайся, і все тут.","{'home', 'survival'}"
336,350,Iryna Tsilyk,Russian,"За что Владимир не возьмётся
всё превращается в говно
а если за говно берётся
то просто тратит меньше сил
Прекрасний стіх. Я дуже сміялась.",За что Владимир не возьмётся всё превращается в говно а если за говно берётся то просто тратит меньше сил Прекрасний стіх. Я дуже сміялась.,"{'profanity', 'humor', 'putin', 'vladimir'}"
339,353,Iryna Tsilyk,Ukrainian,".канікули.
Тут риби стрибають в долоні і лащаться.
Тут ніжним цейтрафером кліпають дні.
Стираємо простір і час якнайкраще. Це 
Так легко – ми п’яні, веселі, смішні.
Пливемо навзнак проти вітру і течії,
Цитуємо класиків, куримо дурь.
Та щось вигасає за кожною втечею
Від себе самих до поривчастих бздур.
Смакуючи суть гедонізму від А до Я,
Несемось по стрічній, де прірва – за крок.
А на поворотах заносить, і падаєм,
Збиваючи радісно лікті у кров.
П’ємо жолондкову, а з космосу зграями
Зірки опадають. Та тільки, на жаль,
Ми знову (і завжди) чомусь не встигаємо
Згадати принаймні якесь із бажань.
Поранені в серце минулими шлюбами,
Смішними любовями, грішми, людьми, 
Ми дуже старанно нікого не любимо,
Бо надто самі недолюблені ми.
Всі рано чи пізно дістанем навиліт, ким
Би ми не були в найміцнішій броні.
А тридцятирічні розгублені підлітки – 
Сумирні, сімейні, самотні, смутні...
Воложисті ночі, розпечені полудні, 
Поквапливі селфі на гідному тлі
Й раптове спустошення в пійманім погляді,
Як мертва комашка в духмяній смолі.
Дещо минуле згадалось, дописалось. А, взагалі, тема втеч від реальності мене не відпускає, да.",".канікули. Тут риби стрибають в долоні і лащаться. Тут ніжним цейтрафером кліпають дні. Стираємо простір і час якнайкраще. Це  Так легко – ми п’яні, веселі, смішні. Пливемо навзнак проти вітру і течії, Цитуємо класиків, куримо дурь. Та щось вигасає за кожною втечею Від себе самих до поривчастих бздур. Смакуючи суть гедонізму від А до Я, Несемось по стрічній, де прірва – за крок. А на поворотах заносить, і падаєм, Збиваючи радісно лікті у кров. П’ємо жолондкову, а з космосу зграями Зірки опадають. Та тільки, на жаль, Ми знову  чомусь не встигаємо Згадати принаймні якесь із бажань. Поранені в серце минулими шлюбами, Смішними любовями, грішми, людьми,  Ми дуже старанно нікого не любимо, Бо надто самі недолюблені ми. Всі рано чи пізно дістанем навиліт, ким Би ми не були в найміцнішій броні. А тридцятирічні розгублені підлітки –  Сумирні, сімейні, самотні, смутні... Воложисті ночі, розпечені полудні,  Поквапливі селфі на гідному тлі Й раптове спустошення в пійманім погляді, Як мертва комашка в духмяній смолі. Дещо минуле згадалось, дописалось. А, взагалі, тема втеч від реальності мене не відпускає, да.","{'reality', 'travel', 'vacation'}"
344,358,Serhii Zhadan,Ukrainian,"Тягне віолончеліст
свій дерев’яний інструмент,
зупиняється,
переводить подих,
ледве тримається в повітрі,
ледве волочить ноги
кам’яною вулицею.
Аж ось як кричать йому
просто в очі,
ось як люто супроводжують,
насідають зусібіч,
сиплють прокляття.
Сходяться чоловіки,
похмуро мовчать жінки,
діти кидають золоті
цитрини
бруківки.
Стільки прикрих слів
він і не чув у своєму житті.
Ніби він винен,
що має тягнути цю
бісову музику,
ніби винен, що
не може кинути її
серед вулиці.
Але кому що доведеш,
кому поясниш?
Розривають повітря крики,
розламує лемент.
Скоро проступить кров,
скоро проллються сльози.
Супляться чоловіки,
галасують жінки,
діти запам’ятають це небо
до кінця своїх
довгих днів.
А вже коли вибираються
за місто, зупиняються
на пагорбі, він ставить
інструмент на землю,
дістає смичок,
припадає до лакованого дерева,
висить на ньому,
не маючи сил відірватись,
і рухи в нього такі важкі,
і на пробитих долонях
запікається кров.
Тоді
плачуть чоловіки,
в’януть серця жінок,
і в дітей
у стиснутих кулаках
ростуть перлини
музичного слуху.
#zhadan #жадан","Тягне віолончеліст свій дерев’яний інструмент, зупиняється, переводить подих, ледве тримається в повітрі, ледве волочить ноги кам’яною вулицею. Аж ось як кричать йому просто в очі, ось як люто супроводжують, насідають зусібіч, сиплють прокляття. Сходяться чоловіки, похмуро мовчать жінки, діти кидають золоті цитрини бруківки. Стільки прикрих слів він і не чув у своєму житті. Ніби він винен, що має тягнути цю бісову музику, ніби винен, що не може кинути її серед вулиці. Але кому що доведеш, кому поясниш? Розривають повітря крики, розламує лемент. Скоро проступить кров, скоро проллються сльози. Супляться чоловіки, галасують жінки, діти запам’ятають це небо до кінця своїх довгих днів. А вже коли вибираються за місто, зупиняються на пагорбі, він ставить інструмент на землю, дістає смичок, припадає до лакованого дерева, висить на ньому, не маючи сил відірватись, і рухи в нього такі важкі, і на пробитих долонях запікається кров. Тоді плачуть чоловіки, в’януть серця жінок, і в дітей у стиснутих кулаках ростуть перлини музичного слуху.  ","{'music', 'sadness', 'tears', 'sorrow', 'cello'}"
354,370,Iryna Tsilyk,Ukrainian,"Підстрибуєш раптом вночі і скролиш, скролиш.
Цей інформаційний голод тепер на часі.
Дзвенять комарі. За вікнами сіро. То лиш
Іще один день життя і війни почався.
Відкинута ковдра стигне у місці згину.
Біжать заголовки, факти плодять нечуло. 
Мій син уві сні сміється. На сході гинуть,
Щоб він уві сні сміявся, а я це чула.
І ще один день. Надворі скребуть асфальти.
Тікають кава і дійсність чимдуж від мене. 
«Ми знову зазнали втрат», – повідомлять шпальти
І вкажуть цифри, пронизливо-безіменні.","Підстрибуєш раптом вночі і скролиш, скролиш. Цей інформаційний голод тепер на часі. Дзвенять комарі. За вікнами сіро. То лиш Іще один день життя і війни почався. Відкинута ковдра стигне у місці згину. Біжать заголовки, факти плодять нечуло.  Мій син уві сні сміється. На сході гинуть, Щоб він уві сні сміявся, а я це чула. І ще один день. Надворі скребуть асфальти. Тікають кава і дійсність чимдуж від мене.  «Ми знову зазнали втрат», – повідомлять шпальти І вкажуть цифри, пронизливо-безіменні.","{'reality', 'information'}"
