,ID,poem_author,language,original_poem,light_clean_poem,theme,big_theme
12,13,Váno Krueger,Ukrainian,"Здесь разговоры
А там на рынке
Свиные головы
С предсмертными улыбками

От солнца щурясь
На нас глядят
Полными грусти
Небытия",Здесь разговоры А там на рынке Свиные головы С предсмертными улыбками  От солнца щурясь На нас глядят Полными грусти Небытия,"{'death', 'animals'}","['death', 'animal']"
14,15,Tadeusz Chabrowski,Ukrainian,"Тадеуш Хабровський
Пори року
Колінкую на зоранім полі, пальцем
обмацую небо – десь між однією хмарою
й іншою є Нескінченний – безперечно є
– і, будь ласка, не перебивайте мене;
ось є – наче хуртовина в яру вимітає цвіль
осені,
є так, як із плином часу змінюються пори року;
у серпні побачиш Його між барвистих сонячних бризок,
у березні – в облямівку плаща Венери,
у грудні сидить на величезному стільці –
один із дванадцяти немічних місяців.
Мов одужуючи, ледве ворушу пальцями лівої ноги,
але зір у мене чудовий, і голосно разом із ластівками
звістую про те, що бачив.
Tadeusz Chabrowski
Pory roku
Klękam na zaoranym polu, kciukiem
dotykam nieba – gdzieś pomiędzy jednym obłokiem
a drugim jest Nieskończony – na pewno jest
– i proszę mi nie przerywać;
jest jak nawałnica w wąwozie, wymiata stęchliznę
jesieni,
jest kiedy porom roku zmienia bieg godzin;
w sierpniu widać Jego kolorowy piuropusz na słońcu,
w marcu rąbek płaszcza w pobliżu Wenus,
w grudniu siada na ogromnym krześle
pośrodku niedołężnych księżyców.
Jako rekonwalescent ledwie poruszam palcami lewej stopy,
ale wzrok mam dobry i razem z jaskółkami krzyczę
głośno o tym, co widziałem.","Тадеуш Хабровський Пори року Колінкую на зоранім полі, пальцем обмацую небо – десь між однією хмарою й іншою є Нескінченний – безперечно є – і, будь ласка, не перебивайте мене; ось є – наче хуртовина в яру вимітає цвіль осені, є так, як із плином часу змінюються пори року; у серпні побачиш Його між барвистих сонячних бризок, у березні – в облямівку плаща Венери, у грудні сидить на величезному стільці – один із дванадцяти немічних місяців. Мов одужуючи, ледве ворушу пальцями лівої ноги, але зір у мене чудовий, і голосно разом із ластівками звістую про те, що бачив. Tadeusz Chabrowski Pory roku Klękam na zaoranym polu, kciukiem dotykam nieba – gdzieś pomiędzy jednym obłokiem a drugim jest Nieskończony – na pewno jest – i proszę mi nie przerywać; jest jak nawałnica w wąwozie, wymiata stęchliznę jesieni, jest kiedy porom roku zmienia bieg godzin; w sierpniu widać Jego kolorowy piuropusz na słońcu, w marcu rąbek płaszcza w pobliżu Wenus, w grudniu siada na ogromnym krześle pośrodku niedołężnych księżyców. Jako rekonwalescent ledwie poruszam palcami lewej stopy, ale wzrok mam dobry i razem z jaskółkami krzyczę głośno o tym, co widziałem.","{'winter', 'the body', 'seasons'}",['season']
16,17,Ostap Slyvynsky,Ukrainian,"ХАЙКУ З МАЙДАНУ (завершення)
Ідуть на площу.
Приводять життя, ніби
дітей до школи.
*
Ще трохи, й Різдво.
Понесуть Немовля вздовж
залізних щитів.
*
Тепер бачиш: ти
сам собі глина й гончар,
обпалений і міцний.","ХАЙКУ З МАЙДАНУ  Ідуть на площу. Приводять життя, ніби дітей до школи. * Ще трохи, й Різдво. Понесуть Немовля вздовж залізних щитів. * Тепер бачиш: ти сам собі глина й гончар, обпалений і міцний.","{'revolution', 'poetic form', 'maidan', 'haiku', 'protest'}","['maidan', 'protest']"
17,18,Boris Khersonsky,Russian,"Спиричуэл

Запиши в тетрадку
цифры по порядку.
Я говорю: десятью десять,
игрушки на елке пора развесить,
девятью девять — 
Мария, Дева-Мать,
восемью восемь — 
хвалу возносим,
семью семь — 
возвещаем всем,
шестью шесть — 
Благая весть,
пятью пять — 
снизошла благодать,
четырежды четыре — 
Спасенье в мире,
трижды три — 
в небеса посмотри,
дважды два — 
Звезда Рождества,
единожды Един
Иисус, Божий Сын,
в Вифлееме Он рожден!","Спиричуэл  Запиши в тетрадку цифры по порядку. Я говорю: десятью десять, игрушки на елке пора развесить, девятью девять —  Мария, Дева-Мать, восемью восемь —  хвалу возносим, семью семь —  возвещаем всем, шестью шесть —  Благая весть, пятью пять —  снизошла благодать, четырежды четыре —  Спасенье в мире, трижды три —  в небеса посмотри, дважды два —  Звезда Рождества, единожды Един Иисус, Божий Сын, в Вифлееме Он рожден!","{'clock', 'spiritual', 'christmas', 'poetic form', 'ekphrasis', 'time'}",['time']
20,21,Andriy Lyubka,Ukrainian,"Святвечір мене зустрів у дорозі.
Зустрів на землі, а посеред неба
висів молодик. У Великому Возі
і Великій Ведмедиці була потреба.

Крім неба й світла, була світлиця
і запах шкіри, і контур плоті,
що звав до себе. Нехай святиться
усе, що доти було і потім.

Бо ніч передерла нам горло спазмом.
Чифірили в келіях старі монашки.
Я не забуду твої оргазми, 
щиру наївність, дитячі замашки,

як вікопомну звізду не забуду.
Спогад про тебе згасити не в змозі.
Ніч огортає мене, як Юду.
Святвечір мене зустрічає в дорозі.

(с) 06.01.2006","Святвечір мене зустрів у дорозі. Зустрів на землі, а посеред неба висів молодик. У Великому Возі і Великій Ведмедиці була потреба.  Крім неба й світла, була світлиця і запах шкіри, і контур плоті, що звав до себе. Нехай святиться усе, що доти було і потім.  Бо ніч передерла нам горло спазмом. Чифірили в келіях старі монашки. Я не забуду твої оргазми,  щиру наївність, дитячі замашки,  як вікопомну звізду не забуду. Спогад про тебе згасити не в змозі. Ніч огортає мене, як Юду. Святвечір мене зустрічає в дорозі.   06.01.2006","{'christmas', 'memory', 'constellations'}",['memory']
22,23,Oleksandr Irvanets,Ukrainian,"ПІД НАСТРІЙ 
***
Світить високо Зірка над нашим Вертепом, 
І не збити її ні кийком, ні кастетом. 
Не обдурить нас Ірод - 
Швидше трафить го шляк. 
Й ми здолаємо шлях!","ПІД НАСТРІЙ  *** Світить високо Зірка над нашим Вертепом,  І не збити її ні кийком, ні кастетом.  Не обдурить нас Ірод -  Швидше трафить го шляк.  Й ми здолаємо шлях!","{'herod', 'religion', 'christianity'}",['religion']
23,24,Serhii Zhadan,Ukrainian,"Дорогі брати і сестри! Всім веселих свят! Це ось вам під ялинку.

+ + + 

Цілу ніч вона співає в своїй кімнаті.
Пальці у неї в крові та цукровій ваті.
Печаль випікає зсередини вени,
і птахами кричать портові сирени.
Боже, борони королеву на нашій естраді.

Цілий ранок вона пакує свої валізи.
В неї ще три доби до закінчення візи.
В неї ще повен бак бензину
і список подяк божому сину –
стільки всього цікавого
для кримінальної експертизи.

Ніхто не заважає їй виїхати ще сьогодні.
З’явитися з боку ночі.
Рушити в бік безодні.
Порожній гостел. Горішнє ліжко.
Зачитана телефонна книжка,
де всі номери з міжміських
перетворюються на міжнародні.

Ніхто не заважає їй говорити чітко й просто;
пишучи повідомлення, хоч іноді вдаватись до прози,
пояснити нарешті, що тоді сталось,
до чого тут втома, до чого старість.
Ніхто їй не заважає.
Але ніхто й не просить.

Про що просити людину, в якої на серці втрата,
в душі – розлука і ніжність,
в долоні – ручна граната,
в легенях – срібні холодні тороси,
в спогадах – затонулі матроси.
Навіть серце її має номер музейного експоната.

Я теж знаю усе і не заважаю,
зважую все, залишаю, але не зважаю.
Малюнок на шкірі,
гострі плечі,
двадцять хвилин, щоб зібрати речі –
сухе вино цьогорічного урожаю.

Цілий вечір вона сидить у чорному светрі.
Рухи її чіткі, бажання вперті.
Цілий тиждень на спів і сповідь,
Ціла зима, щоб чекати на повінь.
Ціле життя на те, щоб не боятися смерті.

+ + + 

Зранку тут падає сніг, ніби міняють лаштунки.
Шиї в жінок беззахисні, як мармур узимку.
Сплять на зупинках чорні,
дивляться в небо турки,
видивляються поміж хмар свою сутінкову зірку.

Слухають недовірливо німоту невідому,
забувають хто із ким спав і хто проти чого боровся.
Ти в цей час прокидаєшся й виходиш із дому,
і вітер відразу підхоплює
прапор твого волосся,

розтинає зсередини вологі волокна світу,
зрушує і розламує серцевину озону.
З таким чорним прапором, проти такого вітру
лише захищати столиці,
з яких пішли гарнізони,

лише іти приступом на арабські фортеці,
рушити мури християнських укріплень,
під таким знаменом
лише збирати підлітків при небезпеці
і салютувати птахам із найвищої крівлі.

Хай знають, що в цих містах не всі ще склали зброю,
хай бачать, що хтось іще відбиває навалу,
хай думають, що ми займаємося веселою грою,
хай розглядають хмари,
що сунуть з-за перевалу.

…Птахи в цей час курсують
вимороженим безмежжям,
повітря в цей час розривається між сушею та водою,
ти в цей час ідеш листопадовим узбережжям,
узбережжя в цей час слідкує за твоєю ходою.

#zhadan #жадан See less","Дорогі брати і сестри! Всім веселих свят! Це ось вам під ялинку.  + + +   Цілу ніч вона співає в своїй кімнаті. Пальці у неї в крові та цукровій ваті. Печаль випікає зсередини вени, і птахами кричать портові сирени. Боже, борони королеву на нашій естраді.  Цілий ранок вона пакує свої валізи. В неї ще три доби до закінчення візи. В неї ще повен бак бензину і список подяк божому сину – стільки всього цікавого для кримінальної експертизи.  Ніхто не заважає їй виїхати ще сьогодні. З’явитися з боку ночі. Рушити в бік безодні. Порожній гостел. Горішнє ліжко. Зачитана телефонна книжка, де всі номери з міжміських перетворюються на міжнародні.  Ніхто не заважає їй говорити чітко й просто; пишучи повідомлення, хоч іноді вдаватись до прози, пояснити нарешті, що тоді сталось, до чого тут втома, до чого старість. Ніхто їй не заважає. Але ніхто й не просить.  Про що просити людину, в якої на серці втрата, в душі – розлука і ніжність, в долоні – ручна граната, в легенях – срібні холодні тороси, в спогадах – затонулі матроси. Навіть серце її має номер музейного експоната.  Я теж знаю усе і не заважаю, зважую все, залишаю, але не зважаю. Малюнок на шкірі, гострі плечі, двадцять хвилин, щоб зібрати речі – сухе вино цьогорічного урожаю.  Цілий вечір вона сидить у чорному светрі. Рухи її чіткі, бажання вперті. Цілий тиждень на спів і сповідь, Ціла зима, щоб чекати на повінь. Ціле життя на те, щоб не боятися смерті.  + + +   Зранку тут падає сніг, ніби міняють лаштунки. Шиї в жінок беззахисні, як мармур узимку. Сплять на зупинках чорні, дивляться в небо турки, видивляються поміж хмар свою сутінкову зірку.  Слухають недовірливо німоту невідому, забувають хто із ким спав і хто проти чого боровся. Ти в цей час прокидаєшся й виходиш із дому, і вітер відразу підхоплює прапор твого волосся,  розтинає зсередини вологі волокна світу, зрушує і розламує серцевину озону. З таким чорним прапором, проти такого вітру лише захищати столиці, з яких пішли гарнізони,  лише іти приступом на арабські фортеці, рушити мури християнських укріплень, під таким знаменом лише збирати підлітків при небезпеці і салютувати птахам із найвищої крівлі.  Хай знають, що в цих містах не всі ще склали зброю, хай бачать, що хтось іще відбиває навалу, хай думають, що ми займаємося веселою грою, хай розглядають хмари, що сунуть з-за перевалу.  …Птахи в цей час курсують вимороженим безмежжям, повітря в цей час розривається між сушею та водою, ти в цей час ідеш листопадовим узбережжям, узбережжя в цей час слідкує за твоєю ходою.    ","{'tyranny', 'fortresses', 'revolution', 'maidan', 'protest'}","['maidan', 'protest']"
29,30,Andrij Bondar,Ukrainian,"Коротка пісня про любов і довіру, про довіру без любові і любов без довіри
Люба моя, спали вишиванки мої,
Про цілунки забудь і про форму моїх геніталій.
Я працюю віднині проектом Банкової.
Так сказали сьогодні Арсеній, Олег і Віталій.","Коротка пісня про любов і довіру, про довіру без любові і любов без довіри Люба моя, спали вишиванки мої, Про цілунки забудь і про форму моїх геніталій. Я працюю віднині проектом Банкової. Так сказали сьогодні Арсеній, Олег і Віталій.","{'trust', 'sex', 'love', 'homosexuality', '“queer”'}",['love']
30,31,Oleksandr Irvanets,Ukrainian,"НІЧ НА 11-те
***
Змивай новорічне похмілля.
Для тебе сумна новина:
Скінчилося перемир'я, 
У твоїй країні - війна!
Підкралась вона зненацька, 
Некликана і незвана, 
Війна оця громадянська, 
Велика і вітчизняна.
Що скажеш ти синові, доньці, 
Або чужим дітлахам, 
Допоки в твоїй сторонці 
Панує неситий хам? 
І як воно буде - нести 
В майбутнє оцю вину?!
Збираймося, браття і сестри.
Пора іти на війну!..","НІЧ НА 11-те *** Змивай новорічне похмілля. Для тебе сумна новина: Скінчилося перемир'я,  У твоїй країні - війна! Підкралась вона зненацька,  Некликана і незвана,  Війна оця громадянська,  Велика і вітчизняна. Що скажеш ти синові, доньці,  Або чужим дітлахам,  Допоки в твоїй сторонці  Панує неситий хам?  І як воно буде - нести  В майбутнє оцю вину?! Збираймося, браття і сестри. Пора іти на війну!..","{'winter', 'future', 'war', 'new year'}",['war']
32,33,Andrij Bondar,"English, Ukrainian","Andrij Bondar was listening to Balanescu Quartet.
January 11, 2014 · 
Чеше Гепа гепу Допі,
Чеше Допа дупу Гепі.
Гепа – Допі: ""Are you dopey!""
Допа – Гепі: ""No, I'm happy!""","Andrij Bondar was listening to Balanescu Quartet. January 11, 2014 ·  Чеше Гепа гепу Допі, Чеше Допа дупу Гепі. Гепа – Допі: ""Are you dopey!"" Допа – Гепі: ""No, I'm happy!""","{'language', 'music', 'bilingual'}",['language']
33,34,Oksana Kutsenko,Ukrainian,"...Але два – не число. Споконвіку
два – це біль, посталий із власної тіні,
це гітара, що розпачем живиться із любові,
це чужа нескінченність, якої тобі не пізнати.
Два – це сховок померлих
і бездонне страждання воскреслих.
Ненависне померлим число
і число, що вколисує жінку,
котру світло злякає, тремтливе від голосу півня,
що тепер буде здатен хіба злетіти над снігом,
з-під якого ми зростимо
лиш марнотрав’я цвинтарне.","...Але два – не число. Споконвіку два – це біль, посталий із власної тіні, це гітара, що розпачем живиться із любові, це чужа нескінченність, якої тобі не пізнати. Два – це сховок померлих і бездонне страждання воскреслих. Ненависне померлим число і число, що вколисує жінку, котру світло злякає, тремтливе від голосу півня, що тепер буде здатен хіба злетіти над снігом, з-під якого ми зростимо лиш марнотрав’я цвинтарне.","{'couple', 'snow', 'death'}",['death']
