,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng,keyword_eng_theme
349,377,Serhii Zhadan,Ukrainian,"+ + +

2015-ий рік.
Світ складається з відкритих повік.
На тебе дивиться тисяча очей.
Що в тебе є з особистих речей?
Якщо цьому небу судилося згоріти,
яка різниця – в якій із печей?

2015-та зима.
Смерть ніколи не приходить сама.
За нею зазвичай приходить пам’ять –
на неї хворіють, від неї потерпають.
Ти бачиш – я вижив, у мене два серця,
зроби що-небудь із ними обома.

Все, що відомо мені:
світ розділяється на ночі й дні,
минуле складається з прози та віршів.
Мені заважає лише те, що я вижив.
Розмови з мерцями – об’єктивна даність.
Питання не в принципах, питання в ціні.

Світ зробили зі слів,
з чорних лексем і семантичних полів.
Жовті квіти, повільні комети –
ідеальне місце для того, щоб померти.
Хочеш знайти варіант порятунку –
шукай у тому місці, де він болів.

40 років зими.
Осінь протягує тебе крізь дими.
Зима добиває тебе ногами.
Добре – це коли не безнадійно погано.
Свобода, зазвичай, в тому й полягає,
аби добровільно вернутись до тюрми.

Це ще не кінець.
В повітрі б’ється тисяча сердець.
Кожне з них невиліковне і тепле,
кожне з них б’ється за тебе.
Коли говоритимеш про рівність і братерство,
спитай, що думає про все це творець.

Спитай, чому він затих.
Церква – лише певна кількість святих,
кількість відмолених і кількість вбитих.
Кому я маю дякувати за кожен свій видих?
Їх немає не те що поруч –
їх просто немає серед живих.

Зберігається все:
всі ординаторські та КПЗ,
всі трапезні, літерні й цілодобові,
всіх ті, хто клявся на вуличній крові,
хто обіцяв померлим усе владнати,
хто обіцяв ще живим, що порятує й спасе.

Все лишається тут.
Теплий грунт, золотий мазут.
Небо над містом – темне, як опік,
знає свій вік, веде свій облік,
торкається листя, торкається квітів,
жіночих облич, дитячих застуд.

#zhadan #жадан See less","+ + +  2015-ий рік. Світ складається з відкритих повік. На тебе дивиться тисяча очей. Що в тебе є з особистих речей? Якщо цьому небу судилося згоріти, яка різниця – в якій із печей?  2015-та зима. Смерть ніколи не приходить сама. За нею зазвичай приходить пам’ять – на неї хворіють, від неї потерпають. Ти бачиш – я вижив, у мене два серця, зроби що-небудь із ними обома.  Все, що відомо мені: світ розділяється на ночі й дні, минуле складається з прози та віршів. Мені заважає лише те, що я вижив. Розмови з мерцями – об’єктивна даність. Питання не в принципах, питання в ціні.  Світ зробили зі слів, з чорних лексем і семантичних полів. Жовті квіти, повільні комети – ідеальне місце для того, щоб померти. Хочеш знайти варіант порятунку – шукай у тому місці, де він болів.  40 років зими. Осінь протягує тебе крізь дими. Зима добиває тебе ногами. Добре – це коли не безнадійно погано. Свобода, зазвичай, в тому й полягає, аби добровільно вернутись до тюрми.  Це ще не кінець. В повітрі б’ється тисяча сердець. Кожне з них невиліковне і тепле, кожне з них б’ється за тебе. Коли говоритимеш про рівність і братерство, спитай, що думає про все це творець.  Спитай, чому він затих. Церква – лише певна кількість святих, кількість відмолених і кількість вбитих. Кому я маю дякувати за кожен свій видих? Їх немає не те що поруч – їх просто немає серед живих.  Зберігається все: всі ординаторські та КПЗ, всі трапезні, літерні й цілодобові, всіх ті, хто клявся на вуличній крові, хто обіцяв померлим усе владнати, хто обіцяв ще живим, що порятує й спасе.  Все лишається тут. Теплий грунт, золотий мазут. Небо над містом – темне, як опік, знає свій вік, веде свій облік, торкається листя, торкається квітів, жіночих облич, дитячих застуд.  #zhadan #жадан See less","{'time', 'soil', 'fate', 'winter', '2015', 'seasons', 'survival', 'future'}","[('ідеальне', 0.3475), ('ординаторські', 0.3085), ('віршів', 0.3039), ('невиліковне', 0.2946), ('хворіють', 0.2883)]","['ідеальне', 'ординаторські', 'віршів', 'невиліковне', 'хворіють']","['perfect', 'residential', 'poems', 'incurable', 'get sick']","[{'sequence': 'perfect', 'labels': ['maidan', 'family', 'time'], 'scores': [0.142001211643219, 0.1136389672756195, 0.09259990602731705]}, {'sequence': 'residential', 'labels': ['time', 'life', 'language'], 'scores': [0.17505356669425964, 0.16897517442703247, 0.13475722074508667]}, {'sequence': 'poems', 'labels': ['poetry', 'language', 'maidan'], 'scores': [0.6763935685157776, 0.09012549370527267, 0.03973894938826561]}, {'sequence': 'incurable', 'labels': ['death', 'time', 'maidan'], 'scores': [0.5407705903053284, 0.06511567533016205, 0.059859395027160645]}, {'sequence': 'get sick', 'labels': ['life', 'time', 'maidan'], 'scores': [0.21218319237232208, 0.12199649214744568, 0.08278575539588928]}]"
350,378,Iryna Tsylik,Ukrainian,"Цей вірш несподівано пішов у люди. В дуже чудові і різні люди.
.Повертайся живим.
Ти, головне, повертайся додому,
Врешті знімай запилюжені берці
І вчися наново жити потому 
З перепрошитою вірою в серці.
Ти, головне, повертайся, здолавши
Чистого зла непрожований стогін,
І відпускай цю ненависть назавше
Посеред мирної тиші густої.
Ти, головне, повертайся тим шляхом, 
Що вбереже твої душу і тіло. 
Чорна земля із розпеченим пахом
Тільки дощу, а не крові хотіла.
Ти, головне, повертайся до мами.
Десь там сивіючи за видноколом, 
Матері тужать і дружать домами, 
Що пахнуть ніжністю та корвалолом.
Ти, головне, повертайся назовсім
І народи-посади-споруди, а
Вже у твоєму дітиську курносім 
Виросте радість, нова і правдива.
Ні, ця війна не потрібна нікому. 
Так, ми її не пробачимо, себто 
Перемагай і вертайся додому.
Просто живим повертайся, і все тут.","Цей вірш несподівано пішов у люди. В дуже чудові і різні люди. .Повертайся живим. Ти, головне, повертайся додому, Врешті знімай запилюжені берці І вчися наново жити потому  З перепрошитою вірою в серці. Ти, головне, повертайся, здолавши Чистого зла непрожований стогін, І відпускай цю ненависть назавше Посеред мирної тиші густої. Ти, головне, повертайся тим шляхом,  Що вбереже твої душу і тіло.  Чорна земля із розпеченим пахом Тільки дощу, а не крові хотіла. Ти, головне, повертайся до мами. Десь там сивіючи за видноколом,  Матері тужать і дружать домами,  Що пахнуть ніжністю та корвалолом. Ти, головне, повертайся назовсім І народи-посади-споруди, а Вже у твоєму дітиську курносім  Виросте радість, нова і правдива. Ні, ця війна не потрібна нікому.  Так, ми її не пробачимо, себто  Перемагай і вертайся додому. Просто живим повертайся, і все тут.","{'home', 'overcoming', 'victory'}","[('несподівано', 0.3778), ('твоєму', 0.3707), ('ненависть', 0.3475), ('повертайся', 0.3208), ('врешті', 0.308)]","['несподівано', 'твоєму', 'ненависть', 'повертайся', 'врешті']","['unexpectedly', 'to your', 'hatred', 'come back', 'in the end']","[{'sequence': 'unexpectedly', 'labels': ['time', 'maidan', 'protest'], 'scores': [0.10042235255241394, 0.09404803067445755, 0.09171363711357117]}, {'sequence': 'to your', 'labels': ['family', 'language', 'maidan'], 'scores': [0.14298228919506073, 0.0880124643445015, 0.07697029411792755]}, {'sequence': 'hatred', 'labels': ['language', 'maidan', 'nation'], 'scores': [0.21542568504810333, 0.1300819367170334, 0.07336828857660294]}, {'sequence': 'come back', 'labels': ['time', 'memory', 'life'], 'scores': [0.26064738631248474, 0.14317895472049713, 0.08484868705272675]}, {'sequence': 'in the end', 'labels': ['death', 'time', 'maidan'], 'scores': [0.14279678463935852, 0.127168670296669, 0.0872994065284729]}]"
351,379,Julia Musakovska,Ukrainian,"здається, що деякі вірші з ""Полювання на тишу"" - це спалахи-видива того, що станеться через рік чи трохи більше. найгірше - знати, що станеться, і не могти нічого змінити.
***
Cпогад про нього несеш, 
ніби глечик на голові – 
випростана, поволі, щоби не розплескати.
Чорна вода потайна і скупа на мову, 
як чоловік,
той, з кого слова не витягнеш без гачка.
Чорна вода набуває чіткіших ознак вина.
Він ще зелений, ранній, 
ласий до перетворень.
Він ще ступає по дну – і не бачить дна.
Губи його ще не знають жалю -
це ворони.
Чорна вода випинається колесом, 
як живіт,
в ній визріває чи вибух чи крововилив.
Сім потаємних імен ти воді назви!
Сім голосів через пам'ять пройдуть навиліт.
Мова води – каламутною в'яззю барв.
Глина холоне під пальцями,
мов небіжчик.
Хтось нагорі його вдало завербував:
все відібрав, а додав
несказанно більше.
Вічний і темний цей страх,
як страхи породіль.
Смак винограду потріскані губи кличе.
Бачиш, прокляттям гойдається на воді 
біла пелюстка - 
останнє його обличчя.","здається, що деякі вірші з ""Полювання на тишу"" - це спалахи-видива того, що станеться через рік чи трохи більше. найгірше - знати, що станеться, і не могти нічого змінити. *** Cпогад про нього несеш,  ніби глечик на голові –  випростана, поволі, щоби не розплескати. Чорна вода потайна і скупа на мову,  як чоловік, той, з кого слова не витягнеш без гачка. Чорна вода набуває чіткіших ознак вина. Він ще зелений, ранній,  ласий до перетворень. Він ще ступає по дну – і не бачить дна. Губи його ще не знають жалю - це ворони. Чорна вода випинається колесом,  як живіт, в ній визріває чи вибух чи крововилив. Сім потаємних імен ти воді назви! Сім голосів через пам'ять пройдуть навиліт. Мова води – каламутною в'яззю барв. Глина холоне під пальцями, мов небіжчик. Хтось нагорі його вдало завербував: все відібрав, а додав несказанно більше. Вічний і темний цей страх, як страхи породіль. Смак винограду потріскані губи кличе. Бачиш, прокляттям гойдається на воді  біла пелюстка -  останнє його обличчя.","{'water', 'memory', 'time', 'war'}","[('прокляттям', 0.4567), ('потріскані', 0.3899), ('витягнеш', 0.3306), ('розплескати', 0.3139), ('вірші', 0.2532)]","['прокляттям', 'потріскані', 'витягнеш', 'розплескати', 'вірші']","['curse', 'cracked', 'pull out', 'to splash', 'lyrics']","[{'sequence': 'curse', 'labels': ['language', 'death', 'maidan'], 'scores': [0.26750290393829346, 0.1299702227115631, 0.11372756212949753]}, {'sequence': 'cracked', 'labels': ['time', 'maidan', 'protest'], 'scores': [0.12994317710399628, 0.10439568758010864, 0.08289141952991486]}, {'sequence': 'pull out', 'labels': ['protest', 'time', 'maidan'], 'scores': [0.16913920640945435, 0.12873776257038116, 0.07917437702417374]}, {'sequence': 'to splash', 'labels': ['time', 'language', 'maidan'], 'scores': [0.14942088723182678, 0.11230361461639404, 0.11181219667196274]}, {'sequence': 'lyrics', 'labels': ['language', 'poetry', 'maidan'], 'scores': [0.41284069418907166, 0.18597014248371124, 0.06460738182067871]}]"
352,380,Julia Musakovska,Ukrainian,"пил на полині
ворог у броні
сонце спльовує червоним - 
все як на війні
нишкнуть у траві
мертві і живі
недочитана молитва - 
лист у рукаві
налягти плечем
вмитися дощем
жовторотий птах - у горлі
світло-синій щем
поряд раз і два
вибухи й жнива
і рука яка востаннє
очі закрива
тепло при землі
що там у імлі
сиві скроні під беретом
хлопчаки малі
промені руді
світло у воді
вітровіння повні груди
от який мій дім
маки зацвітуть
розіллється ртуть
поможи мені зігрітись
я залишусь тут",пил на полині ворог у броні сонце спльовує червоним -  все як на війні нишкнуть у траві мертві і живі недочитана молитва -  лист у рукаві налягти плечем вмитися дощем жовторотий птах - у горлі світло-синій щем поряд раз і два вибухи й жнива і рука яка востаннє очі закрива тепло при землі що там у імлі сиві скроні під беретом хлопчаки малі промені руді світло у воді вітровіння повні груди от який мій дім маки зацвітуть розіллється ртуть поможи мені зігрітись я залишусь тут,"{'religion', 'soil', 'dust', 'prayer', 'war'}","[('зацвітуть', 0.3777), ('залишусь', 0.3553), ('хлопчаки', 0.3493), ('нишкнуть', 0.3074), ('зігрітись', 0.3018)]","['зацвітуть', 'залишусь', 'хлопчаки', 'нишкнуть', 'зігрітись']","['will bloom', 'i will stay', 'boys', 'chuckle', 'to warm up']","[{'sequence': 'will bloom', 'labels': ['life', 'nature', 'maidan'], 'scores': [0.2958935499191284, 0.14383336901664734, 0.07609589397907257]}, {'sequence': 'i will stay', 'labels': ['time', 'family', 'life'], 'scores': [0.25781533122062683, 0.13176295161247253, 0.11808805912733078]}, {'sequence': 'boys', 'labels': ['gender', 'maidan', 'family'], 'scores': [0.9178839921951294, 0.01652342826128006, 0.014985130168497562]}, {'sequence': 'chuckle', 'labels': ['language', 'family', 'gender'], 'scores': [0.289489209651947, 0.0877489373087883, 0.0734417513012886]}, {'sequence': 'to warm up', 'labels': ['time', 'maidan', 'season'], 'scores': [0.48536065220832825, 0.07161963731050491, 0.06928084790706635]}]"
355,383,Vasyl Holoborodko,Ukrainian,"Вірш Голобородька ""Інтерв’ю: Луна"" я слухаю так. А ви?
ІНТЕРВ'Ю: ЛУНА
Інтерв'ю – українською мовою мало б називатися ""луна"",
бо ж давно зауважено,
що значущість мовленого тим, у кого беруть інтерв'ю
у відповідь на запитання інтерв'юера
залежить (а можливо й повністю полягає) від того,
наскільки дотепними є поставлені запитання.
От і тепер
інтерв'юерка запитує у мене,
як я нині задовольняю свої сексуальні потреби,
а я нічого не можу на те відповісти,
не зважаючи на те, що запитання мені самому подобається,
але через те, що я мовчу, 
луна не звучить, отже, інтерв'ю не здійснюється.
Я міг би сказати їй у відповідь на запитання,
що я вже досить старий,
вона підбадьорила б мене тією мудрістю,
що старий кінь борозни не псує,
я міг би розвинути сказане далі (за прислів'ям),
мовляв, так, старий кінь борозни не псує,
але й глибоко не оре,
та я й далі мовчу –
луна не звучить,
інтерв'ю не здійснюється.
Якби це була кореспондентка ""Paris soir"",
вона про таке не запитала б,
бо ж вона чудово розуміє, що для самотніх
чоловіків існують спеціальні заклади,
де недорого можна задовольнити
свої, якщо вони є, сексуальні потреби.
Але коли вона заходила із диктофоном
до мого готельного номера,
де ми домовилися зустрітися для інтерв'ю,
я зауважив, що палець кореспондентки,
щойно вона переступила поріг,
знаходиться на ґудзику.
(с) Василь Голобородько","Вірш Голобородька ""Інтерв’ю: Луна"" я слухаю так. А ви? ІНТЕРВ'Ю: ЛУНА Інтерв'ю – українською мовою мало б називатися ""луна"", бо ж давно зауважено, що значущість мовленого тим, у кого беруть інтерв'ю у відповідь на запитання інтерв'юера залежить (а можливо й повністю полягає) від того, наскільки дотепними є поставлені запитання. От і тепер інтерв'юерка запитує у мене, як я нині задовольняю свої сексуальні потреби, а я нічого не можу на те відповісти, не зважаючи на те, що запитання мені самому подобається, але через те, що я мовчу,  луна не звучить, отже, інтерв'ю не здійснюється. Я міг би сказати їй у відповідь на запитання, що я вже досить старий, вона підбадьорила б мене тією мудрістю, що старий кінь борозни не псує, я міг би розвинути сказане далі (за прислів'ям), мовляв, так, старий кінь борозни не псує, але й глибоко не оре, та я й далі мовчу – луна не звучить, інтерв'ю не здійснюється. Якби це була кореспондентка ""Paris soir"", вона про таке не запитала б, бо ж вона чудово розуміє, що для самотніх чоловіків існують спеціальні заклади, де недорого можна задовольнити свої, якщо вони є, сексуальні потреби. Але коли вона заходила із диктофоном до мого готельного номера, де ми домовилися зустрітися для інтерв'ю, я зауважив, що палець кореспондентки, щойно вона переступила поріг, знаходиться на ґудзику. (с) Василь Голобородько","{'geography', 'paris', 'sex', 'europe', 'night', 'moon'}","[('задовольняю', 0.414), ('значущість', 0.4056), ('зустрітися', 0.3765), ('українською', 0.3045), ('кореспондентка', 0.3033)]","['задовольняю', 'значущість', 'зустрітися', 'українською', 'кореспондентка']","['satisfy', 'significance', 'to meet', 'Ukrainian', 'correspondent']","[{'sequence': 'satisfy', 'labels': ['language', 'family', 'maidan'], 'scores': [0.13566359877586365, 0.1094009056687355, 0.10760561376810074]}, {'sequence': 'significance', 'labels': ['maidan', 'language', 'family'], 'scores': [0.14573174715042114, 0.09218543022871017, 0.07356162369251251]}, {'sequence': 'to meet', 'labels': ['maidan', 'time', 'life'], 'scores': [0.12779587507247925, 0.1157805398106575, 0.11470739543437958]}, {'sequence': 'Ukrainian', 'labels': ['nation', 'language', 'family'], 'scores': [0.45753780007362366, 0.28015416860580444, 0.05682114511728287]}, {'sequence': 'correspondent', 'labels': ['gender', 'language', 'maidan'], 'scores': [0.14833013713359833, 0.13608552515506744, 0.12029574066400528]}]"
356,384,Iya Kiva,Ukrainian,"Украинский витраж
Мы заходим в соборы, костелы, кирхи, леса
В тишине пулевой про себя прочитать ""Отче наш"",
Там, где у крестовины сходятся глаз полюса,
На закатной корме полыхающий виден витраж.
Вот любовь. Она пляшет цыганочку на площадях,
Собирая в потертую шляпу по пятачку,
На нее, как на девку с проказой, нынче глядят,
Между пальцев зажав то ли бритву, то ли чеку.
Вот страна. Она помнит Чернобыль и голодомор,
Бабий Яр, диссидентов, красной звезды огонек,
Над синюшными шеями гордо нависший топор
И огромную очередь в вечно закрытый ларек.
Вот свобода. Она в окровавленном платье несет
Чью-то дочку, забытую снайпером у баррикад,
Где рождается, стонет, и хнычет, и дохнет народ,
Выбирая свой праведный честный удушливый ад.
Вот надежда. Приданого в доме целый сундук,
Только прочь женихов, что ни день, уводит война.
Будто Будда христианский, взмахами тысячи рук
Она крестит их в спины, не зная по именам.
Вот волчонок. Он зайку приехал от волка спасать.
Там, где родина воет, порода не помнит родства.
А зверье лишь ушами разводит, мол, чудеса,
Слишком короток шаг от уродства до естества.
Вот мы горсткой в ладонях у Бога нагими лежим,
В своих кукольных тельцах пряча большие слова,
А тем временем маленький кто-то в беззвучный режим
Переводит нас, в шуме эпохи слышных едва.
Вот и голос садится, и сердце садится, и век
Розовеет припухлость, и шпили коленей дрожат,
Солнце падает за борт, бумажный рвется ковчег,
И душа выпадает с девятого этажа.
29 августа 2014","Украинский витраж Мы заходим в соборы, костелы, кирхи, леса В тишине пулевой про себя прочитать ""Отче наш"", Там, где у крестовины сходятся глаз полюса, На закатной корме полыхающий виден витраж. Вот любовь. Она пляшет цыганочку на площадях, Собирая в потертую шляпу по пятачку, На нее, как на девку с проказой, нынче глядят, Между пальцев зажав то ли бритву, то ли чеку. Вот страна. Она помнит Чернобыль и голодомор, Бабий Яр, диссидентов, красной звезды огонек, Над синюшными шеями гордо нависший топор И огромную очередь в вечно закрытый ларек. Вот свобода. Она в окровавленном платье несет Чью-то дочку, забытую снайпером у баррикад, Где рождается, стонет, и хнычет, и дохнет народ, Выбирая свой праведный честный удушливый ад. Вот надежда. Приданого в доме целый сундук, Только прочь женихов, что ни день, уводит война. Будто Будда христианский, взмахами тысячи рук Она крестит их в спины, не зная по именам. Вот волчонок. Он зайку приехал от волка спасать. Там, где родина воет, порода не помнит родства. А зверье лишь ушами разводит, мол, чудеса, Слишком короток шаг от уродства до естества. Вот мы горсткой в ладонях у Бога нагими лежим, В своих кукольных тельцах пряча большие слова, А тем временем маленький кто-то в беззвучный режим Переводит нас, в шуме эпохи слышных едва. Вот и голос садится, и сердце садится, и век Розовеет припухлость, и шпили коленей дрожат, Солнце падает за борт, бумажный рвется ковчег, И душа выпадает с девятого этажа. 29 августа 2014","{'hunger', 'religion', 'babyn yar', 'holocaust', 'holodomor'}","[('беззвучный', 0.3286), ('цыганочку', 0.3016), ('припухлость', 0.2365), ('снайпером', 0.2268), ('диссидентов', 0.2215)]","['беззвучный', 'цыганочку', 'припухлость', 'снайпером', 'диссидентов']","['soundless', 'gypsy girl', 'swelling', 'sniper', 'dissidents']","[{'sequence': 'soundless', 'labels': ['maidan', 'time', 'animal'], 'scores': [0.15595737099647522, 0.1188887357711792, 0.07978307455778122]}, {'sequence': 'gypsy girl', 'labels': ['gender', 'maidan', 'life'], 'scores': [0.7080755829811096, 0.15158270299434662, 0.02288987673819065]}, {'sequence': 'swelling', 'labels': ['time', 'language', 'maidan'], 'scores': [0.09606057405471802, 0.0943826287984848, 0.08412958681583405]}, {'sequence': 'sniper', 'labels': ['gender', 'war', 'maidan'], 'scores': [0.15521284937858582, 0.1250765323638916, 0.09308246523141861]}, {'sequence': 'dissidents', 'labels': ['protest', 'time', 'maidan'], 'scores': [0.6370988488197327, 0.049885280430316925, 0.04577571153640747]}]"
357,385,Arkadii Shtypel,Russian,"не помню, выкладывал ли это воспоминание:
Эта траурная музыка,
эта стрижка полубокс...
У России два союзника:
Чейн и Стокс.","не помню, выкладывал ли это воспоминание: Эта траурная музыка, эта стрижка полубокс... У России два союзника: Чейн и Стокс.","{'russia', 'music', 'irony'}","[('воспоминание', 0.4784), ('траурная', 0.2654), ('полубокс', 0.2149), ('стрижка', 0.2072), ('выкладывал', 0.1426)]","['воспоминание', 'траурная', 'полубокс', 'стрижка', 'выкладывал']","['memory', 'mourning', 'semi-boxing', 'haircut', 'laid out']","[{'sequence': 'memory', 'labels': ['memory', 'time', 'family'], 'scores': [0.6962727904319763, 0.07301182299852371, 0.04645613208413124]}, {'sequence': 'mourning', 'labels': ['time', 'maidan', 'language'], 'scores': [0.2100418359041214, 0.16264021396636963, 0.10755429416894913]}, {'sequence': 'semi-boxing', 'labels': ['language', 'maidan', 'season'], 'scores': [0.15939882397651672, 0.10662397742271423, 0.10217122733592987]}, {'sequence': 'haircut', 'labels': ['maidan', 'time', 'gender'], 'scores': [0.1629282683134079, 0.1253807246685028, 0.07845907658338547]}, {'sequence': 'laid out', 'labels': ['language', 'maidan', 'time'], 'scores': [0.13035164773464203, 0.1134980171918869, 0.09538992494344711]}]"
358,386,Julia Musakovska,Ukrainian,"1.
тілом іде роса
тілом ідуть 
війська
шпарка у райський сад - витончено-вузька
я одягаю дим 
я одягаю мед
стільки в мені води
що захлинеться смерть
риба шукає дно
риба гукає риб
хто це глухим рядном голови нам укрив?
тісно у напівсні
вийшла трава з боліт
я загадала сніг
вітер тривав
на схід
(""Вигнання"", з книжки ""Полювання на тишу"", 2014)","1. тілом іде роса тілом ідуть  війська шпарка у райський сад - витончено-вузька я одягаю дим  я одягаю мед стільки в мені води що захлинеться смерть риба шукає дно риба гукає риб хто це глухим рядном голови нам укрив? тісно у напівсні вийшла трава з боліт я загадала сніг вітер тривав на схід (""Вигнання"", з книжки ""Полювання на тишу"", 2014)","{'expulsion from eden', 'religion', 'body', 'eden', 'christianity', 'the body'}","[('сніг', 0.2461), ('захлинеться', 0.2169), ('напівсні', 0.2109), ('шукає', 0.1691), ('шпарка', 0.1661)]","['сніг', 'захлинеться', 'напівсні', 'шукає', 'шпарка']","['snow', 'flood', 'half asleep', 'looking for', 'sparkly']","[{'sequence': 'snow', 'labels': ['season', 'nature', 'maidan'], 'scores': [0.49485233426094055, 0.21931740641593933, 0.03761898726224899]}, {'sequence': 'flood', 'labels': ['nature', 'maidan', 'life'], 'scores': [0.39198368787765503, 0.12960465252399445, 0.0925493910908699]}, {'sequence': 'half asleep', 'labels': ['time', 'maidan', 'nation'], 'scores': [0.24120892584323883, 0.17726391553878784, 0.07580697536468506]}, {'sequence': 'looking for', 'labels': ['maidan', 'time', 'protest'], 'scores': [0.11268294602632523, 0.09553570300340652, 0.0847473293542862]}, {'sequence': 'sparkly', 'labels': ['maidan', 'language', 'poetry'], 'scores': [0.1308874487876892, 0.0829935297369957, 0.07732079923152924]}]"
359,387,Arkadii Shtypel,Russian,"Абстракция - одно,
конкретика - другое.
Какое же говно! -
такое... и такое... и такое...","Абстракция - одно, конкретика - другое. Какое же говно! - такое... и такое... и такое...","{'abstract', 'war', 'concrete'}","[('абстракция', 0.3986), ('какое', 0.3307), ('конкретика', 0.3221), ('другое', 0.1989), ('такое', 0.1557)]","['абстракция', 'какое', 'конкретика', 'другое', 'такое']","['abstraction', 'which', 'specifics', 'other', 'such']","[{'sequence': 'abstraction', 'labels': ['protest', 'maidan', 'language'], 'scores': [0.1507539004087448, 0.1207914650440216, 0.10312416404485703]}, {'sequence': 'which', 'labels': ['language', 'gender', 'family'], 'scores': [0.13984301686286926, 0.1145208403468132, 0.08078617602586746]}, {'sequence': 'specifics', 'labels': ['language', 'maidan', 'family'], 'scores': [0.12874196469783783, 0.11807390302419662, 0.07897518575191498]}, {'sequence': 'other', 'labels': ['animal', 'time', 'maidan'], 'scores': [0.09247991442680359, 0.08149343729019165, 0.08078695833683014]}, {'sequence': 'such', 'labels': ['language', 'family', 'life'], 'scores': [0.1818179488182068, 0.08564548939466476, 0.08084307610988617]}]"
360,389,Arkadii Shtypel,Russian,"5-7-5
еще б отобрать
русский город порт-артур
вместе с харбином",5-7-5 еще б отобрать русский город порт-артур вместе с харбином,"{'harbin', 'geography', 'haiku', 'poetic form', 'japan', 'russia', 'war', 'asia', 'port arthur'}","[('отобрать', 0.4519), ('харбином', 0.339), ('порт', 0.2074), ('еще', 0.1479), ('город', 0.1437)]","['отобрать', 'харбином', 'порт', 'еще', 'город']","['select', 'harbin', 'port', 'more', 'city']","[{'sequence': 'select', 'labels': ['family', 'maidan', 'gender'], 'scores': [0.12892979383468628, 0.08928739279508591, 0.085784412920475]}, {'sequence': 'harbin', 'labels': ['nature', 'gender', 'language'], 'scores': [0.1664208620786667, 0.11675635725259781, 0.10762453824281693]}, {'sequence': 'port', 'labels': ['maidan', 'family', 'gender'], 'scores': [0.08815625309944153, 0.08039520680904388, 0.07743432372808456]}, {'sequence': 'more', 'labels': ['time', 'family', 'maidan'], 'scores': [0.12337614595890045, 0.1123109832406044, 0.10368838161230087]}, {'sequence': 'city', 'labels': ['geography', 'life', 'time'], 'scores': [0.26825374364852905, 0.11784699559211731, 0.09770592302083969]}]"
361,390,Luba Iakymchuk,Ukrainian,"померли дід і баба
в один день померли
в одну годину
в одну хвилину —
люди говорили, що від старості
померла їхня курка
їхня коза та їхня собака
(а кішки не було вдома)
і люди говорили, що від старості
розвалилась їхня хата
сарай став руїною
і погріб зверху присипало землею
люди говорили, що від старості розвалились
прийшли їхні діти ховати діда з бабою
Оля була вагітною
а Сергій був п’яний
а Соня мала три рочки
і вони теж померли
а люди говорили, що від старості
холодний вітер обірвав жовте листя
і поховав під ним діда, бабу, Олю, Сергія, Соню
які померли від старості
6 вересня 2014, Чернівці","померли дід і баба в один день померли в одну годину в одну хвилину — люди говорили, що від старості померла їхня курка їхня коза та їхня собака (а кішки не було вдома) і люди говорили, що від старості розвалилась їхня хата сарай став руїною і погріб зверху присипало землею люди говорили, що від старості розвалились прийшли їхні діти ховати діда з бабою Оля була вагітною а Сергій був п’яний а Соня мала три рочки і вони теж померли а люди говорили, що від старості холодний вітер обірвав жовте листя і поховав під ним діда, бабу, Олю, Сергія, Соню які померли від старості 6 вересня 2014, Чернівці","{'family', 'death', 'grandparents', 'animals'}","[('чернівці', 0.3301), ('погріб', 0.1765), ('вагітною', 0.1739), ('розвалилась', 0.1437), ('розвалились', 0.1333)]","['чернівці', 'погріб', 'вагітною', 'розвалилась', 'розвалились']","['Chernivtsi', 'cellar', 'pregnant', 'fell apart', 'fell apart']","[{'sequence': 'Chernivtsi', 'labels': ['nation', 'family', 'animal'], 'scores': [0.2061765342950821, 0.1889725774526596, 0.15569306910037994]}, {'sequence': 'cellar', 'labels': ['time', 'language', 'gender'], 'scores': [0.24868479371070862, 0.12025891244411469, 0.11163407564163208]}, {'sequence': 'pregnant', 'labels': ['gender', 'family', 'life'], 'scores': [0.2597341239452362, 0.1505880206823349, 0.12879544496536255]}, {'sequence': 'fell apart', 'labels': ['time', 'life', 'maidan'], 'scores': [0.12636540830135345, 0.11403895914554596, 0.10264310240745544]}, {'sequence': 'fell apart', 'labels': ['time', 'life', 'maidan'], 'scores': [0.12636540830135345, 0.11403895914554596, 0.10264310240745544]}]"
