,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords
238,249,Boris Khersonsky,Russian,"***
Вот, перешли Рубикон, перенесли столбы,
натянули проволоку, поставили часовых.
Эту затею придумали высокие умные лбы.
Эти лбы прострелены. Никого не осталось в живых.

Рубикон превратился в пересыхающий ручеек.
Жребий брошен в кусты, никто его не искал.
Легионеры дерутся - делят дневной паек.
Империя скалит пасть, но это - беззубый оскал.

Пока воевали снаружи, все рухнуло изнутри,
дворцы пусты и загажены, храмы осквернены.
Выход один - подождать тысячелетия три,
и станет туризм спасением для развалин этой страны.","*** Вот, перешли Рубикон, перенесли столбы, натянули проволоку, поставили часовых. Эту затею придумали высокие умные лбы. Эти лбы прострелены. Никого не осталось в живых.  Рубикон превратился в пересыхающий ручеек. Жребий брошен в кусты, никто его не искал. Легионеры дерутся - делят дневной паек. Империя скалит пасть, но это - беззубый оскал.  Пока воевали снаружи, все рухнуло изнутри, дворцы пусты и загажены, храмы осквернены. Выход один - подождать тысячелетия три, и станет туризм спасением для развалин этой страны.","{'rubicon', 'ruins', 'empire'}","[('подождать', 0.3042), ('легионеры', 0.2382), ('снаружи', 0.2357), ('пересыхающий', 0.2279), ('тысячелетия', 0.2227)]"
239,250,Boris Khersonsky,Russian,"Ходит дух Премудрости в тщетных поисках пары,
но кроме духа Уныния не видит иного лица.
Колесо обозрения не лучше, чем колесо Сансары,
всего, что содержит идею вращающегося колеса.

И что там твоя Дхаммапада, и что там твоя Ригведа,
и кто такой Кохелет с ветром на круги своя?
Мальчик. владелец трехколесного велосипеда,
медленное движение в направлении небытия.","Ходит дух Премудрости в тщетных поисках пары, но кроме духа Уныния не видит иного лица. Колесо обозрения не лучше, чем колесо Сансары, всего, что содержит идею вращающегося колеса.  И что там твоя Дхаммапада, и что там твоя Ригведа, и кто такой Кохелет с ветром на круги своя? Мальчик. владелец трехколесного велосипеда, медленное движение в направлении небытия.","{'sadness', '', 'samsara', 'wisdom'}","[('велосипеда', 0.3855), ('вращающегося', 0.3732), ('ригведа', 0.309), ('трехколесного', 0.3012), ('премудрости', 0.2882)]"
240,251,Andrij Bondar,Ukrainian,"""И летит на крылатом коне
Русь в далёкие тысячелетья""
Пам'ятаєте ці рядки? А тепер розумієте, наскільки вони точні у своєму пророцтві?
Русь летит на крылатом коне в тьмутаракань своей исторической изоляции – к берестяным грамотам, опричнине, пареной репе, лучине, лаптям, тюре (молочка-то нет), жизни без картошки и конфет ""Рошен"". Но с ядерным оружием.","""И летит на крылатом коне Русь в далёкие тысячелетья"" Пам'ятаєте ці рядки? А тепер розумієте, наскільки вони точні у своєму пророцтві? Русь летит на крылатом коне в тьмутаракань своей исторической изоляции – к берестяным грамотам, опричнине, пареной репе, лучине, лаптям, тюре (молочка-то нет), жизни без картошки и конфет ""Рошен"". Но с ядерным оружием.","{'russia', 'nuclear war', 'mythology', 'war', 'winged horse'}","[('розумієте', 0.5227), ('берестяным', 0.3573), ('тысячелетья', 0.334), ('тьмутаракань', 0.3109), ('опричнине', 0.244)]"
241,252,Andrij Bondar,Ukrainian,"Паліндром:
– О, Путін! 
– Ні... Тупо..","Паліндром: – О, Путін!  – Ні... Тупо..","{'politics', 'poetic form', 'russia', 'palindrome', 'putin'}","[('паліндром', 0.4827), ('путін', 0.3656), ('тупо', 0.3395), ('ні', 0.2629)]"
242,253,Dmitry Strotsev,Russian,"* * *
почему кричит
предстоятель украинской церкви
потому что он окружен
беззащитной украинской паствой
почему молчит патриарх
русской церкви
потому что он защищен
российской военной армадой
почему говорю я
рядовой христианин
потому что мне стыдно
10.03.2014",* * * почему кричит предстоятель украинской церкви потому что он окружен беззащитной украинской паствой почему молчит патриарх русской церкви потому что он защищен российской военной армадой почему говорю я рядовой христианин потому что мне стыдно 10.03.2014,"{'church', 'religion', 'ukraine', 'christianity', 'russia', 'war'}","[('предстоятель', 0.3529), ('молчит', 0.3261), ('кричит', 0.2674), ('беззащитной', 0.2588), ('окружен', 0.2161)]"
243,255,Luba Iakymchuk,Ukrainian,"революція починається в животі
революція починається нудотами
починається в організмі тихо
як дотик
а потім росте живіт
теплими спалашками
як від
запальнички або від
того, що її роздавили
революція починається з диму
від цигарок
починається із заправок
революція оживає в бензині
і в іншому паливі
напийся своєї революції
кольору смерті — синьої
червоної — кольору любові
та іди гуляти вулицями
кров’ю фарбованими
а потім — відходять води
з осінніми вогкими поцілунками
і капілярів водорості
обплутують очі та шлунки
потонулих у революції
мокрих поетів
потонулих у революції
крикливих дітей
– потонувших в революции этой
– потонувших в революции той
2007, уривок з поеми ""Товариш Дим""","революція починається в животі революція починається нудотами починається в організмі тихо як дотик а потім росте живіт теплими спалашками як від запальнички або від того, що її роздавили революція починається з диму від цигарок починається із заправок революція оживає в бензині і в іншому паливі напийся своєї революції кольору смерті — синьої червоної — кольору любові та іди гуляти вулицями кров’ю фарбованими а потім — відходять води з осінніми вогкими поцілунками і капілярів водорості обплутують очі та шлунки потонулих у революції мокрих поетів потонулих у революції крикливих дітей – потонувших в революции этой – потонувших в революции той 2007, уривок з поеми ""Товариш Дим""","{'politics', 'protest', 'revolution'}","[('поцілунками', 0.3893), ('революція', 0.3655), ('капілярів', 0.3424), ('обплутують', 0.331), ('фарбованими', 0.2826)]"
244,256,Marianna Kijanowska,Ukrainian,"запитую про час про справжні межі часу
не ті що у тобі не ті що у мені
а ті що кожен з нас розпізнає відразу
як вибухи небес в дорозі і вві сні
в потоках мерехтінь усе здається білим
і довшає як тінь і загусає вмить
і я плачу ціну свого спасіння тілом
що є одним з відлунь і більше не щемить",запитую про час про справжні межі часу не ті що у тобі не ті що у мені а ті що кожен з нас розпізнає відразу як вибухи небес в дорозі і вві сні в потоках мерехтінь усе здається білим і довшає як тінь і загусає вмить і я плачу ціну свого спасіння тілом що є одним з відлунь і більше не щемить,"{'dream', 'time', 'sky', 'explosions'}","[('розпізнає', 0.5217), ('спасіння', 0.2914), ('мерехтінь', 0.286), ('загусає', 0.2373), ('відлунь', 0.2345)]"
245,257,Marianna Kijanowska,Ukrainian,"брами просто над нами
не сказати словами
ні ранку того ні рани
богдане богдане
лише прочанин 
засіє
поле Твоє 
Месіє
майбутнє цілком відчиниться
і навіть мале й піщане
одним з милосердь учиниться
ключ Божий богдан сольчаник
час обернеться тричі
ключ залишиться у замку
вітер повіє 
голос покличе
богдане! сольчанику!
настане година 
ключ
візьме як меч обіруч 
Месія
і засіЯ
кожне живе тепло
завше теплом було
впала сльоза на скло
і пропалила тло
небо і серце",брами просто над нами не сказати словами ні ранку того ні рани богдане богдане лише прочанин  засіє поле Твоє  Месіє майбутнє цілком відчиниться і навіть мале й піщане одним з милосердь учиниться ключ Божий богдан сольчаник час обернеться тричі ключ залишиться у замку вітер повіє  голос покличе богдане! сольчанику! настане година  ключ візьме як меч обіруч  Месія і засіЯ кожне живе тепло завше теплом було впала сльоза на скло і пропалила тло небо і серце,"{'god', 'heat', 'bohdan sochanik', 'messiah'}","[('майбутнє', 0.331), ('піщане', 0.3296), ('милосердь', 0.3263), ('сольчаник', 0.3004), ('сольчанику', 0.2607)]"
246,258,Marianna Kijanowska,Ukrainian,"Не відболіло - часу не було.
Не проросло в слова ні навіть в сни ще.
А небо - все весняніше і вище.
А Бог єднає муку і тепло.
На повні груди дихає орел.
Маленька вишня квітне коло хати.
А ми п’ємо надію із джерел,
Щоб мати силу йти і пам’ятати.
Нам чаші переповнено ущерть,
І сльози знов течуть у Чорне море.
Та сходить сонце - і світають гори.
І Воскресіння попирає смерть.
І Сам Воскреслий каже, що зоря
Є знаком перетворення в безодні.
І біль стає прозорим, як Господні
І наші сльози, втоптані в моря.","Не відболіло - часу не було. Не проросло в слова ні навіть в сни ще. А небо - все весняніше і вище. А Бог єднає муку і тепло. На повні груди дихає орел. Маленька вишня квітне коло хати. А ми п’ємо надію із джерел, Щоб мати силу йти і пам’ятати. Нам чаші переповнено ущерть, І сльози знов течуть у Чорне море. Та сходить сонце - і світають гори. І Воскресіння попирає смерть. І Сам Воскреслий каже, що зоря Є знаком перетворення в безодні. І біль стає прозорим, як Господні І наші сльози, втоптані в моря.","{'maidan', 'protest', 'revolution', 'ukraine'}","[('воскресіння', 0.4253), ('воскреслий', 0.3105), ('відболіло', 0.2942), ('весняніше', 0.2644), ('перетворення', 0.2469)]"
247,259,Marianna Kijanowska,Russian,"аз мужчина путинец
россиянец-леденец
в ленинграде аз возрос
потомуж не малоросс
прянык у меня в чести
янык у меня в горсти
а в цитате мандельштам
грубиянцам аз воздам
за коляску и за крем 
иностранцам шляпы съем
сбрею про себя усы
не взирая на часы
из ниоткуда в никуда
олимпи - ада - дада",аз мужчина путинец россиянец-леденец в ленинграде аз возрос потомуж не малоросс прянык у меня в чести янык у меня в горсти а в цитате мандельштам грубиянцам аз воздам за коляску и за крем  иностранцам шляпы съем сбрею про себя усы не взирая на часы из ниоткуда в никуда олимпи - ада - дада,"{'russia', 'kremlin', 'putin', 'poetry'}","[('мандельштам', 0.4452), ('иностранцам', 0.428), ('ниоткуда', 0.3629), ('грубиянцам', 0.33), ('воздам', 0.3223)]"
248,260,Dmitry Strotsev,Russian,"почему кричит
предстоятель украинской церкви
потому что он окружен
беззащитной украинской паствой
почему молчит патриарх
русской церкви
потому что он защищен
российской военной армадой
почему говорю я
рядовой христианин
потому что мне стыдно
10.03.2014",почему кричит предстоятель украинской церкви потому что он окружен беззащитной украинской паствой почему молчит патриарх русской церкви потому что он защищен российской военной армадой почему говорю я рядовой христианин потому что мне стыдно 10.03.2014,"{'church', 'religion', 'ukraine', 'christianity', 'russia', 'war'}","[('предстоятель', 0.3455), ('молчит', 0.3221), ('кричит', 0.2637), ('беззащитной', 0.2564), ('окружен', 0.2173)]"
249,261,Oksana Kutsenko,Ukrainian,"це той час у якому ми завжди були

у якому бували тихими і повільними
малими від власного щастя й великими – від чужого болю
час 
у якому вирощували огірки і троянди
той самий час у якому 
легко видужували і непомітно для себе скидали втомлену шкіру
у якому писали музику і виношували дітей
у якому 
наші сини годували білих птахів білим хлібом
а сусідські дівчата виносили повні кишені насіння
у сутінках розмовляти й сміятися
це той самий час
із вітром 
що запам’ятовує знаки і голоси
що вірить у Бога і народні прикмети
із піском
що заповнює кратери втрат і вчить забувати
це той самий час
і досі ранок 
одного нескінченного дня
і ми щойно поснідали тими самими вишнями що і в двотисячному
час
із тими ж назвами та іменами

тільки зараз він прийшов до мене
поклав голову на плече
хоче щось розповісти 
але і слова не може вимовити
поки я найдовше в своєму житті мию посуд
миска за мискою
ще ніколи так не сяяла порцеляна",це той час у якому ми завжди були  у якому бували тихими і повільними малими від власного щастя й великими – від чужого болю час  у якому вирощували огірки і троянди той самий час у якому  легко видужували і непомітно для себе скидали втомлену шкіру у якому писали музику і виношували дітей у якому  наші сини годували білих птахів білим хлібом а сусідські дівчата виносили повні кишені насіння у сутінках розмовляти й сміятися це той самий час із вітром  що запам’ятовує знаки і голоси що вірить у Бога і народні прикмети із піском що заповнює кратери втрат і вчить забувати це той самий час і досі ранок  одного нескінченного дня і ми щойно поснідали тими самими вишнями що і в двотисячному час із тими ж назвами та іменами  тільки зараз він прийшов до мене поклав голову на плече хоче щось розповісти  але і слова не може вимовити поки я найдовше в своєму житті мию посуд миска за мискою ще ніколи так не сяяла порцеляна,"{'everyday life', 'family'}","[('розповісти', 0.3329), ('двотисячному', 0.253), ('сусідські', 0.2482), ('дівчата', 0.2388), ('вирощували', 0.223)]"
250,262,Yaroslav Dovhan,Ukrainian,"Ярослав Довган
Не від того я помру, що на світі буде война,
А від того, що вона мого вірша не достойна.
Вона...
Падоньку ж ти мій!
Вона...
Господи ж мій милий!
Повний келишок налий і на білу постіль вилий.
Парко Морто, раз вона
Мого вірша не достойна –
П’ю свій келишок до дна...
Біла постіль – в Лету пройма.
Не від того я помру...","Ярослав Довган Не від того я помру, що на світі буде война, А від того, що вона мого вірша не достойна. Вона... Падоньку ж ти мій! Вона... Господи ж мій милий! Повний келишок налий і на білу постіль вилий. Парко Морто, раз вона Мого вірша не достойна – П’ю свій келишок до дна... Біла постіль – в Лету пройма. Не від того я помру...","{'death', 'literature', 'war', 'poetry'}","[('келишок', 0.2518), ('вірша', 0.2471), ('господи', 0.1899), ('достойна', 0.1783), ('парко', 0.1693)]"
251,263,Boris Khersonsky,Russian,"Они не боятся диктатора.
Они боятся его огорчить.
Потому, что они любят этого человека.
потому, что они любят изнасилованную им страну.
Любят настолько, что просто не представляют себе,
что она может быть кем-то изнасилована.
Поэтому остается одно - любить и верить.
Верить в то, что все было по любви.","Они не боятся диктатора. Они боятся его огорчить. Потому, что они любят этого человека. потому, что они любят изнасилованную им страну. Любят настолько, что просто не представляют себе, что она может быть кем-то изнасилована. Поэтому остается одно - любить и верить. Верить в то, что все было по любви.","{'russia', 'dictatorship', 'love', 'rape'}","[('изнасилованную', 0.4681), ('настолько', 0.3251), ('любят', 0.2895), ('изнасилована', 0.2741), ('верить', 0.2008)]"
252,264,Arkadii Shtypel,Russian,"трішечки підредагував-осучаснив радянського класика:
""тож нехай собі як знають
божеволіють конають
на своє робить:
все гімно до 'дної ями
холуїв за холуями
будем будем бить
будем будем бить!""
","трішечки підредагував-осучаснив радянського класика: ""тож нехай собі як знають божеволіють конають на своє робить: все гімно до 'дної ями холуїв за холуями будем будем бить будем будем бить!"" ","{'music', 'irony', 'soviet union', 'soviet anthem'}","[('божеволіють', 0.4522), ('підредагував', 0.3494), ('трішечки', 0.3302), ('осучаснив', 0.2623), ('гімно', 0.1982)]"
253,265,Halyna Kruk,Ukrainian,"нове дивне
в небі намалював 
ластівку і шуліку
каже мені: стеж 
за цими двома в русі,
за цими двома в парі
а вони так далеко вже, 
що не бачу хто з них де
що не розрізняю, де з них хто
найсумніше відкриття:
нема так, щоб саме тільки добро
нема добра без зла
нема добра і зла без мене","нове дивне в небі намалював  ластівку і шуліку каже мені: стеж  за цими двома в русі, за цими двома в парі а вони так далеко вже,  що не бачу хто з них де що не розрізняю, де з них хто найсумніше відкриття: нема так, щоб саме тільки добро нема добра без зла нема добра і зла без мене","{'evil', 'nature', 'beauty'}","[('найсумніше', 0.4759), ('розрізняю', 0.4592), ('ластівку', 0.2695), ('намалював', 0.1067), ('відкриття', 0.1033)]"
254,266,Kateryna Kalytko,Ukrainian,"Острів із хни, острів із перламутру,
острів – як ложка, наповнена сочевицею
червоних будинків. Так проростає мудрість:
чаплі летять на зимівлю, ти виходиш дивитися.
Мружишся проти сонця, ось твій нагрітий камінь,
ти на ньому велично сидиш собі, як паша.
Деякі принци існують задля смертей у вигнанні,
а їхні слуги – щоби у ногах їм лежати,
згорнутися по-котячому і тамувати біль,
коли дотискатиме їх, скажімо, люта подагра.
Хазяїн шаблю і пояс заповідає тобі,
край нього ти майже вмер, а жив завжди у трудах.
У добру погоду із малолюдного порту
видно столицю, але ніколи – цілу.
Донька там намиста носить, а ти пам’ятаєш згорток,
теплий і верескливий, який обіруч тримав,
і ще позабув остаточно, як ці пишні жінки цілують.
Повна птахів і демонів буде зима.
Сідає до тебе один із хвостом павича,
ніжно гладить коліно пазуриськами гострими.
І коли так нестримно захочеться закричати –
виявиш: ти давно вже 
лише повітря над островом.","Острів із хни, острів із перламутру, острів – як ложка, наповнена сочевицею червоних будинків. Так проростає мудрість: чаплі летять на зимівлю, ти виходиш дивитися. Мружишся проти сонця, ось твій нагрітий камінь, ти на ньому велично сидиш собі, як паша. Деякі принци існують задля смертей у вигнанні, а їхні слуги – щоби у ногах їм лежати, згорнутися по-котячому і тамувати біль, коли дотискатиме їх, скажімо, люта подагра. Хазяїн шаблю і пояс заповідає тобі, край нього ти майже вмер, а жив завжди у трудах. У добру погоду із малолюдного порту видно столицю, але ніколи – цілу. Донька там намиста носить, а ти пам’ятаєш згорток, теплий і верескливий, який обіруч тримав, і ще позабув остаточно, як ці пишні жінки цілують. Повна птахів і демонів буде зима. Сідає до тебе один із хвостом павича, ніжно гладить коліно пазуриськами гострими. І коли так нестримно захочеться закричати – виявиш: ти давно вже  лише повітря над островом.","{'herons', 'island', 'daughter', 'migration', 'death', 'winter'}","[('дотискатиме', 0.3499), ('пазуриськами', 0.3477), ('мружишся', 0.3184), ('вигнанні', 0.2976), ('нагрітий', 0.2918)]"
255,267,Vasyl Makhno,Ukrainian,"Сніг із білого крижма

я одне пам’ятаю: що там був сніг
пам’ятаю: що снігу був цілий сніп 
і що кури котили яйце-райце –
і в повітрі висіла небесна брама
і накрали злодії цукерок і краму
-провінція тобто райцентр –

я одне пам’ятав: що повітря з драбин
виживати -два хліба і п’ять рибин -
щоб піймати попутку на трасі
заселяли повітря крамниці й купці
а сміливці брели по зимній ріці
тобто в часі й понад часом

я згадав що дорогою до Чернівець
приходили міняйли й місцевий купець:
чорний перець міняли за страву
розтирали замерзлий у пучках Чигор
і завели нарешті в машині мотор
що зимове повітря стравить

якщо б знати погоду від наших курей
і осліплого пса і місцевих дітей
над Джуринкою в лисячій шубі
я б мабуть здогадався: що краще тоді
перебути життя у зимній воді
й відігрітись при кахлевій грубі

я себе пригадав за слідами куниць
наче сніг в моїм роті цукор топивсь
я чекав на купців: обіцяли вернутись
привезуть карамель медівник пластівці
що вони вже дісталися до Чернівців
що купили для мене андрути

я одне пам’ятаю: що все там було:
переламане в курки праве крило
три купці що ночують щотижня
і крамниці з цукерками в річці – кисіль
рік почнеться з Різдва а життя із весіль
сніг – із білого крижма",Сніг із білого крижма  я одне пам’ятаю: що там був сніг пам’ятаю: що снігу був цілий сніп  і що кури котили яйце-райце – і в повітрі висіла небесна брама і накрали злодії цукерок і краму -провінція тобто райцентр –  я одне пам’ятав: що повітря з драбин виживати -два хліба і п’ять рибин - щоб піймати попутку на трасі заселяли повітря крамниці й купці а сміливці брели по зимній ріці тобто в часі й понад часом  я згадав що дорогою до Чернівець приходили міняйли й місцевий купець: чорний перець міняли за страву розтирали замерзлий у пучках Чигор і завели нарешті в машині мотор що зимове повітря стравить  якщо б знати погоду від наших курей і осліплого пса і місцевих дітей над Джуринкою в лисячій шубі я б мабуть здогадався: що краще тоді перебути життя у зимній воді й відігрітись при кахлевій грубі  я себе пригадав за слідами куниць наче сніг в моїм роті цукор топивсь я чекав на купців: обіцяли вернутись привезуть карамель медівник пластівці що вони вже дісталися до Чернівців що купили для мене андрути  я одне пам’ятаю: що все там було: переламане в курки праве крило три купці що ночують щотижня і крамниці з цукерками в річці – кисіль рік почнеться з Різдва а життя із весіль сніг – із білого крижма,{'snow'},"[('здогадався', 0.335), ('чернівців', 0.3207), ('сміливці', 0.2947), ('відігрітись', 0.2803), ('пластівці', 0.2634)]"
256,268,Boris Khersonsky,Russian,"Жгите, девочки, георгиевские ленты на Вечном огне.
Мойте, девочки, плиты героев разорванным флагом УПА.
Пламя возгорится ярче. Плиты будут чище.
И вы разойдетесь с обновленной и окрепшей
ненавистью друг к другу.","Жгите, девочки, георгиевские ленты на Вечном огне. Мойте, девочки, плиты героев разорванным флагом УПА. Пламя возгорится ярче. Плиты будут чище. И вы разойдетесь с обновленной и окрепшей ненавистью друг к другу.","{'upa', 'st. george', 'fire'}","[('разойдетесь', 0.5821), ('ненавистью', 0.3944), ('георгиевские', 0.3397), ('возгорится', 0.3261), ('разорванным', 0.2906)]"
257,269,Anatoly Lemysh,Russian,"Отползает змея в камуфляже,
Бронированной тушей звеня.
Я не знаю истории гаже,
Чем угроза ""спасенья"" меня.
Только мысли колотятся в темя:
Как отныне дружить-пировать,
Как отныне здороваться с теми,
Кто готов был меня убивать?","Отползает змея в камуфляже, Бронированной тушей звеня. Я не знаю истории гаже, Чем угроза ""спасенья"" меня. Только мысли колотятся в темя: Как отныне дружить-пировать, Как отныне здороваться с теми, Кто готов был меня убивать?","{'snake', 'war', 'animals'}","[('отползает', 0.3845), ('камуфляже', 0.3834), ('спасенья', 0.3128), ('отныне', 0.3036), ('бронированной', 0.2578)]"
258,270,Oleksandr Irvanets,Ukrainian,"01.IV.2014.
***
Я в Острозі. 
І це не жарт першоквітневий!",01.IV.2014. *** Я в Острозі.  І це не жарт першоквітневий!,"{'geography', 'april fools', '""april fools""', 'ukrainian geography', 'ostrog'}","[('першоквітневий', 0.5382), ('острозі', 0.4312), ('жарт', 0.2064), ('01', 0.1753), ('2014', 0.1619)]"
259,271,Serhii Zhadan,Ukrainian,"Говорять: всі, кого ти собі впіймаєш,
до смерті будуть тепер іти за тобою.
Будеш їм віддавати усе, що маєш,
будеш ділитися з ними вином і водою.

#zhadan #жадан","Говорять: всі, кого ти собі впіймаєш, до смерті будуть тепер іти за тобою. Будеш їм віддавати усе, що маєш, будеш ділитися з ними вином і водою.  #zhadan #жадан","{'religion', 'alcohol', 'wine and water', 'christianity', 'death', 'jesus'}","[('впіймаєш', 0.5269), ('ділитися', 0.2843), ('говорять', 0.2075), ('будуть', 0.1999), ('будеш', 0.1985)]"
260,272,Arkadii Shtypel,Ukrainian,"*
най буде їм пороблено
з трясцями хворобами
холерами сухотами
трьохсотими двохсотими 
стінгером гарматою
і земля скловатою",* най буде їм пороблено з трясцями хворобами холерами сухотами трьохсотими двохсотими  стінгером гарматою і земля скловатою,"{'alcohol', 'food', 'soil', 'wine', 'fruit', 'earth', 'plague on enemies', 'plague'}","[('хворобами', 0.3978), ('стінгером', 0.3622), ('трясцями', 0.3587), ('скловатою', 0.2697), ('двохсотими', 0.2674)]"
261,273,Alexei Reshetov,Russian,"АЛЕКСЕЙ РЕШЕТОВ, Екатеринбург
* * *
Мы в детстве были. много откровенней:
– Что у тебя на завтрак?
– Ничего.
– А у меня хлеб с маслом и вареньем.
Возьми немного хлеба моего...
Года прошли, и мы иными стали,
Теперь никто не спросит никого:
– Что у тебя на сердце? Уж не тьма ли?
Возьми немного света моего...
* * *
Журавли собирают пожитки.
Небо в трещинах, как потолок.
Три-четыре хороших снежинки­ –
И пиши по теплу некролог.
Я и сам, как природа, невесел,
Промотал свое счастье, гляжу.
И, как будто просроченный вексель,
Желтый лист облетевший держу.
Вы не знаете, что это значит,
Когда воет, как баба, пила
И на маленькой брошенной даче
Мыши нюхают ножки стола.","АЛЕКСЕЙ РЕШЕТОВ, Екатеринбург * * * Мы в детстве были. много откровенней: – Что у тебя на завтрак? – Ничего. – А у меня хлеб с маслом и вареньем. Возьми немного хлеба моего... Года прошли, и мы иными стали, Теперь никто не спросит никого: – Что у тебя на сердце? Уж не тьма ли? Возьми немного света моего... * * * Журавли собирают пожитки. Небо в трещинах, как потолок. Три-четыре хороших снежинки­ – И пиши по теплу некролог. Я и сам, как природа, невесел, Промотал свое счастье, гляжу. И, как будто просроченный вексель, Желтый лист облетевший держу. Вы не знаете, что это значит, Когда воет, как баба, пила И на маленькой брошенной даче Мыши нюхают ножки стола.","{'time', 'childhood', 'mice', 'animals', 'cranes'}","[('откровенней', 0.3301), ('счастье', 0.3178), ('снежинки', 0.2764), ('некролог', 0.2637), ('просроченный', 0.2409)]"
262,274,Nathalie Beltchenko,Russian,"betv
April 3, 2014 · · 
По обе стороны реки
Мы наше время тянем сами,
И здесь не в помощь две руки,
А можно лишь - двумя сердцами
Свой город охватив извне:
Так даже память поддается.
Не сумасшедшие вполне,
Но посвященные в юродство
Быть и рекою, и горой,
И потропинно и поводно
Идем, хоть временем порой
Нам перехватывает горло.
О киевских мифах, речках и деревьях, о топонимике и географии, женственности и чувственности в городском пространстве - в программе Читаємо Київ.
В гостях - киевская поэтесса Наталья Бельченко ( Nathalie Beltchenko )
в 20:00 на http://betv.com.ua/readkyiv/readkyiv_21/","betv April 3, 2014 · ·  По обе стороны реки Мы наше время тянем сами, И здесь не в помощь две руки, А можно лишь - двумя сердцами Свой город охватив извне: Так даже память поддается. Не сумасшедшие вполне, Но посвященные в юродство Быть и рекою, и горой, И потропинно и поводно Идем, хоть временем порой Нам перехватывает горло. О киевских мифах, речках и деревьях, о топонимике и географии, женственности и чувственности в городском пространстве - в программе Читаємо Київ. В гостях - киевская поэтесса Наталья Бельченко ( Nathalie Beltchenko ) в 20:00 на http://betv.com.ua/readkyiv/readkyiv_21/","{'time', 'kyiv', 'ukrainian geography', 'geography'}","[('чувственности', 0.4321), ('сумасшедшие', 0.3887), ('readkyiv_21', 0.3443), ('женственности', 0.3439), ('посвященные', 0.321)]"
263,275,Luba Iakymchuk,Ukrainian,"На прохання трудящих та Svetlana Didukh Romanenko вірш про дрезину, написаний на квитку Київ-Луганськ 😉
*
під мостом шумить ріка колій
поїзди електрички
електрички поїзди
дрезина 
під пласким мостом
як груди твоєї дружини –
ріка колій
тут час вимірюють не водою
не владою
і не дружиною
а дрезиною
поїздами електричками
електричками поїздами
я пірнаю в цю ріку
наловити заіржавілих годинників
заіржавілих карасів та кразів 
на березі на них влаштували лови
годинникарі із вудочками
серед них вишня – не садок вишневий
а тільки вишня
а також тичина 
йогансен
а сосюра знову наливає чарку
не горілки а горя
а в руках у хвильового 
востаннє б’є хвостом
короп часу –
і моє обличчя все у капцях
ні – у краплях
і моє обличчя як окріп
що википів
та осів на шибку осінню","На прохання трудящих та Svetlana Didukh Romanenko вірш про дрезину, написаний на квитку Київ-Луганськ 😉 * під мостом шумить ріка колій поїзди електрички електрички поїзди дрезина  під пласким мостом як груди твоєї дружини – ріка колій тут час вимірюють не водою не владою і не дружиною а дрезиною поїздами електричками електричками поїздами я пірнаю в цю ріку наловити заіржавілих годинників заіржавілих карасів та кразів  на березі на них влаштували лови годинникарі із вудочками серед них вишня – не садок вишневий а тільки вишня а також тичина  йогансен а сосюра знову наливає чарку не горілки а горя а в руках у хвильового  востаннє б’є хвостом короп часу – і моє обличчя все у капцях ні – у краплях і моє обличчя як окріп що википів та осів на шибку осінню","{'draisine (rail vehicle)', 'geography', 'train', 'literature', 'ukrainian poetry', 'travel'}","[('луганськ', 0.4558), ('електричками', 0.3438), ('електрички', 0.2828), ('заіржавілих', 0.257), ('хвильового', 0.2328)]"
