,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng
614,679,Ostap Slyvynsky,Ukrainian,"""Ніколи не буде такого літа
Ніколи поліція не буде такою ґречною
Ніколи пожежна команда не буде такою швидкою і спритною
Ніколи цигарка не буде такою смачною
А горілка – такою холодною і поживною
Ніколи не буде таких смачних тістечок
Збірна нашої країни вже ніколи не покаже таких результатів
…Ніколи Бог не буде так близько
Такий ніжний і добрий як зараз
Над обрієм блискає і чути скрегіт заліза""
(Марцін Свєтліцький)
Підлий фейсбук. Спогад про спогад. 19 років тому 🙂","""Ніколи не буде такого літа Ніколи поліція не буде такою ґречною Ніколи пожежна команда не буде такою швидкою і спритною Ніколи цигарка не буде такою смачною А горілка – такою холодною і поживною Ніколи не буде таких смачних тістечок Збірна нашої країни вже ніколи не покаже таких результатів …Ніколи Бог не буде так близько Такий ніжний і добрий як зараз Над обрієм блискає і чути скрегіт заліза""  Підлий фейсбук. Спогад про спогад. 19 років тому 🙂","{'memory', 'time', 'summer', 'seasons'}","[('фейсбук', 0.3701), ('скрегіт', 0.36), ('холодною', 0.2472), ('тістечок', 0.242), ('збірна', 0.2218)]","['фейсбук', 'скрегіт', 'холодною', 'тістечок', 'збірна']","['facebook', 'gnash', 'cold', 'cakes', 'team']"
618,683,Julia Musakovska,Ukrainian,"* * *
Що в мішку торхкотить?
Кості.
Кості мої, та не всі.
Три кісточки братик вийняв,
дві на ринку продав,
одну на городі прикопав.
Виросте з тої кістки яблуня,
кожне яблуко — з обличчям моїм.
Буде до братика промовляти:
— За віщо ти мене, старший братику?
За віщо ти мене вбив,
кісточки з мене вийняв,
грубою ниткою зашив,
у мішок поклав,
три дні поховати не дав.
— За те, що в тебе 
жінка гарніша,
пісня гучніша,
земля масніша, 
яблуня на подвір’ї вища.
Віддай мені землю свою,
жінку свою,
пісню свою
вузлом поперек горла зав'яжи.
Не брат мені ти
не ворог чесний,
не чоловік,
не звір.
Мішок, набитий кістьми.
Вийде твоя жінка — вкусить яблучка,
впаде замертво.
Вийдуть твої діти,
вкусять —
і впадуть неживі.
Вийде сонце —
спалить твою хату дотла,
засіє попелом землю.
Що в мішку торохкотить?
Яблука.
Солодкі-солодкі. 
#БогСвободи
Ілюстрація Анастасії Старко /Anna Lee/","* * * Що в мішку торхкотить? Кості. Кості мої, та не всі. Три кісточки братик вийняв, дві на ринку продав, одну на городі прикопав. Виросте з тої кістки яблуня, кожне яблуко — з обличчям моїм. Буде до братика промовляти: — За віщо ти мене, старший братику? За віщо ти мене вбив, кісточки з мене вийняв, грубою ниткою зашив, у мішок поклав, три дні поховати не дав. — За те, що в тебе  жінка гарніша, пісня гучніша, земля масніша,  яблуня на подвір’ї вища. Віддай мені землю свою, жінку свою, пісню свою вузлом поперек горла зав'яжи. Не брат мені ти не ворог чесний, не чоловік, не звір. Мішок, набитий кістьми. Вийде твоя жінка — вкусить яблучка, впаде замертво. Вийдуть твої діти, вкусять — і впадуть неживі. Вийде сонце — спалить твою хату дотла, засіє попелом землю. Що в мішку торохкотить? Яблука. Солодкі-солодкі.   Ілюстрація Анастасії Старко /Anna Lee/","{'body', 'fruit', 'death', 'bones', 'apple'}","[('торохкотить', 0.4006), ('обличчям', 0.3149), ('вкусить', 0.2622), ('ілюстрація', 0.2514), ('вкусять', 0.2513)]","['торохкотить', 'обличчям', 'вкусить', 'ілюстрація', 'вкусять']","['rumble', 'face', 'taste', 'illustration', 'will bite']"
629,694,Maria Galina,Russian,"Из окна верхнего этажа бывшего горсовета
Ровно в семнадцать тридцать можно увидеть
Самолеты, идущие на посадку,
landing фонари, чистейшее их сияние
(расположены в районе трети размаха крыльевых консолей. Мощность и дальность освещения аналогичны дальнему свету автомобиля. Направленные в одну точку фары белого цвета)
всякие вспомогательные строения,
конструкции непонятного назначения
и собственно здание аэропорта, гордость нашего региона.
Мы собираемся у окна примерно в семнадцать двадцать.
Молчим, курим, тут теперь можно никто не гоняет.
Ждем, когда загорятся огни в зале прилетов.
Иногда приводим с собой детей и женщин, но редко –
Женщины плачут, дети просто не понимают
Что это там такое ревет и мерцает в небе
Заходит на круг и куда потом исчезает.
Пара минут ведь – и все. И опять пустота и ветер
Не уловленный сачками для ловли ветра
Гонит по развалинам пыль и мусор.
Странное, конечно, явленье, но забирает.
Вот, каждый вечер, в семнадцать тридцать стоим и смотрим.
Полагаю, это что-то связанное с памятью атмосферы
Может же быть у нее какая-то память, у атмосферы…","Из окна верхнего этажа бывшего горсовета Ровно в семнадцать тридцать можно увидеть Самолеты, идущие на посадку, landing фонари, чистейшее их сияние  всякие вспомогательные строения, конструкции непонятного назначения и собственно здание аэропорта, гордость нашего региона. Мы собираемся у окна примерно в семнадцать двадцать. Молчим, курим, тут теперь можно никто не гоняет. Ждем, когда загорятся огни в зале прилетов. Иногда приводим с собой детей и женщин, но редко – Женщины плачут, дети просто не понимают Что это там такое ревет и мерцает в небе Заходит на круг и куда потом исчезает. Пара минут ведь – и все. И опять пустота и ветер Не уловленный сачками для ловли ветра Гонит по развалинам пыль и мусор. Странное, конечно, явленье, но забирает. Вот, каждый вечер, в семнадцать тридцать стоим и смотрим. Полагаю, это что-то связанное с памятью атмосферы Может же быть у нее какая-то память, у атмосферы…","{'memory', 'sky', 'flight', 'airplane'}","[('атмосферы', 0.403), ('исчезает', 0.4025), ('вспомогательные', 0.327), ('непонятного', 0.252), ('идущие', 0.2318)]","['атмосферы', 'исчезает', 'вспомогательные', 'непонятного', 'идущие']","['atmosphere', 'disappears', 'auxiliary', 'incomprehensible', 'going']"
640,708,Julia Musakovska,Ukrainian,"*** 
така любов — що аж у горлі клубок гарячий; 
без будь-яких напівтонів чи відносних значень, 
не упівсерця, а цілим сонцем — і морем, 
так гіацинтово, фіалково і безумовно; 
така розхристана та надсадна, як ранок ранній, 
така разюча: незрозуміло, гоїть чи ранить, 
така обіцяна — зм’яклі коліна, розбитий панцир; 
як довгождана, але навмисне пропущена станція; 
як гуркіт — і голос, який втішає: гроза, гроза; 
як вуличний музикант, зарізаний на Підзамчі; 
як протаранені кораблі, обмілілі ріки; 
як сто п’ятдесят п’ять дітей без батьківської опіки; 
як назви втрачених місць, які не втомишся вимовляти; 
як благодать найвища та найгірше прокляття; 
як чорна трава, спопелілі гнізда і шепіт пустки. 
така любов, що вросла — 
і ніколи вже не відпустить. 
🖤
#БогСвободи","***  така любов — що аж у горлі клубок гарячий;  без будь-яких напівтонів чи відносних значень,  не упівсерця, а цілим сонцем — і морем,  так гіацинтово, фіалково і безумовно;  така розхристана та надсадна, як ранок ранній,  така разюча: незрозуміло, гоїть чи ранить,  така обіцяна — зм’яклі коліна, розбитий панцир;  як довгождана, але навмисне пропущена станція;  як гуркіт — і голос, який втішає: гроза, гроза;  як вуличний музикант, зарізаний на Підзамчі;  як протаранені кораблі, обмілілі ріки;  як сто п’ятдесят п’ять дітей без батьківської опіки;  як назви втрачених місць, які не втомишся вимовляти;  як благодать найвища та найгірше прокляття;  як чорна трава, спопелілі гнізда і шепіт пустки.  така любов, що вросла —  і ніколи вже не відпустить.  🖤 ","{'bodies of water', 'love', 'religion', 'childhood'}","[('незрозуміло', 0.4172), ('гіацинтово', 0.4009), ('напівтонів', 0.3616), ('упівсерця', 0.338), ('прокляття', 0.2953)]","['незрозуміло', 'гіацинтово', 'напівтонів', 'упівсерця', 'прокляття']","['not clear', 'hyacinth', 'semitones', 'half hearted', 'curse']"
645,713,Julia Musakovska,Ukrainian,"*** 
Господи заквітчаний трояндами 
вбраний в павутину і росу 
я тобі через корчі та ями 
десять куль між ребер принесу 
де взялись якого поля ягоди 
хто зростив їх випестив як слід 
вилетіли від сваволі п'яні 
з жалами холодними як лід 
Господи палкий та розчарований 
з терням на високому чолі 
як тобі ходити у короні 
босим по розпатраній землі 
запахи людського і горілого 
вітер кине м'ячиком в лице 
Господи світи і рясно квітни
поки нас інерція несе 
поки цифри множаться у матриці 
поки ранок спи мій Боже спи 
втриматися б — та за що триматись 
за пелюстки краплі за шипи 
#БогСвободи",***  Господи заквітчаний трояндами  вбраний в павутину і росу  я тобі через корчі та ями  десять куль між ребер принесу  де взялись якого поля ягоди  хто зростив їх випестив як слід  вилетіли від сваволі п'яні  з жалами холодними як лід  Господи палкий та розчарований  з терням на високому чолі  як тобі ходити у короні  босим по розпатраній землі  запахи людського і горілого  вітер кине м'ячиком в лице  Господи світи і рясно квітни поки нас інерція несе  поки цифри множаться у матриці  поки ранок спи мій Боже спи  втриматися б — та за що триматись  за пелюстки краплі за шипи  ,"{'frustration', 'emotion', 'religion'}","[('заквітчаний', 0.3982), ('множаться', 0.2781), ('пелюстки', 0.2684), ('людського', 0.2385), ('розпатраній', 0.2383)]","['заквітчаний', 'множаться', 'пелюстки', 'людського', 'розпатраній']","['blossomed', 'multiply', 'petals', 'human', 'dealt with']"
648,717,Ihor Mitrov,Russian,"[касабланка]
у нас с тобой навсегда
останется наш париж
мы его потеряли
а прошлой ночью снова
обрели
прошлой ночью
когда твои улицы
кисло пахли опавшими яблоками
теперь все яблоки падают
как солдаты на верденском поле
даже недозревшие
даже завязи
лишь одно надкушенное
висело прошлой ночью на прозрачной ветке
светило нам будто воля
и представление
мы соответственно смотрели на него
волея
и 
представляя
какое оно на вкус
ты говорила
что оно на вкус
как снег с вершины ай-петри
я говорил нет
у него вкус
караимского чебурека
ты засмеялась
а потом заплакала
настало холодное осеннее
умеренно-континентальное утро
и если ночью
ты была возбуждена
и страстно шептала мне на ухо
украинские ласковые слова
то теперь стала сухой
как степной ветер
и русскоязычной
как цинковый гроб
этот бокал за тебя детка
у нас с тобой навсегда
останется наш симферополь
ты должна
сесть на этот корабль
(Перевод с украинского)", у нас с тобой навсегда останется наш париж мы его потеряли а прошлой ночью снова обрели прошлой ночью когда твои улицы кисло пахли опавшими яблоками теперь все яблоки падают как солдаты на верденском поле даже недозревшие даже завязи лишь одно надкушенное висело прошлой ночью на прозрачной ветке светило нам будто воля и представление мы соответственно смотрели на него волея и  представляя какое оно на вкус ты говорила что оно на вкус как снег с вершины ай-петри я говорил нет у него вкус караимского чебурека ты засмеялась а потом заплакала настало холодное осеннее умеренно-континентальное утро и если ночью ты была возбуждена и страстно шептала мне на ухо украинские ласковые слова то теперь стала сухой как степной ветер и русскоязычной как цинковый гроб этот бокал за тебя детка у нас с тобой навсегда останется наш симферополь ты должна сесть на этот корабль ,"{'ukraine', 'twentieth century', 'time', 'war'}","[('засмеялась', 0.3447), ('холодное', 0.3158), ('русскоязычной', 0.3009), ('недозревшие', 0.3003), ('навсегда', 0.292)]","['засмеялась', 'холодное', 'русскоязычной', 'недозревшие', 'навсегда']","['laughed', 'cold', 'Russian speaking', 'immature', 'forever']"
666,741,Julia Musakovska,Ukrainian,"* * *
І ось ти стикаєшся з ворогом своїм лице в лице, 
в оливному саду, на піску, білішому за кістки твоїх померлих. 
Що скажеш йому? Надламаний горіх біля воріт росте, 
нові гілки випускає, немов багнети, що його перемелють. 
Донька твого ворога танцює під ніжним вивихом лози. 
Птахи повернулись відновлювати розорені гнізда. 
Сусід-кулеметник приїхав цілий — хіба здригається від грози 
і часом серед ночі кричить, як чайка, пронизливо. 
Коли свого ворога безпомилково у юрбі впізнаєш, 
поцілив би — та слів або куль не видобути зненацька. 
Повзуть блакитними поручнями пахощі бузини та яєчні, 
а поміж них іще один гострий запах — ненависті. 
Червона спека розпростує чіпкі клешні крабові, 
обмацує натільні хрести, а на них — столітня іржа. 
Донька твого ворога викидає ніжку дитинно, незграбно. 
Танцює, і очі — ягоди, 
з яких чавлять вино 
у пору врожаю. 
#БогСвободи","* * * І ось ти стикаєшся з ворогом своїм лице в лице,  в оливному саду, на піску, білішому за кістки твоїх померлих.  Що скажеш йому? Надламаний горіх біля воріт росте,  нові гілки випускає, немов багнети, що його перемелють.  Донька твого ворога танцює під ніжним вивихом лози.  Птахи повернулись відновлювати розорені гнізда.  Сусід-кулеметник приїхав цілий — хіба здригається від грози  і часом серед ночі кричить, як чайка, пронизливо.  Коли свого ворога безпомилково у юрбі впізнаєш,  поцілив би — та слів або куль не видобути зненацька.  Повзуть блакитними поручнями пахощі бузини та яєчні,  а поміж них іще один гострий запах — ненависті.  Червона спека розпростує чіпкі клешні крабові,  обмацує натільні хрести, а на них — столітня іржа.  Донька твого ворога викидає ніжку дитинно, незграбно.  Танцює, і очі — ягоди,  з яких чавлять вино  у пору врожаю.  ","{'god', 'religion'}","[('впізнаєш', 0.5198), ('стикаєшся', 0.4617), ('блакитними', 0.3586), ('ненависті', 0.2845), ('здригається', 0.2739)]","['впізнаєш', 'стикаєшся', 'блакитними', 'ненависті', 'здригається']","['you will recognize', 'you face', 'blue', 'of hatred', 'shuddering']"
674,751,Stanislav Chernilevskyi,Ukrainian,"Вірші мого батька, Станіслава Чернілевського, під враженням від останніх новин. 
Россиянам 
1. С подворотни — в “нео-мессии»: замечательный разворот.
Мне казалось, что есть в России
Кроме власти, живой народ.
Но кастрирован Интернет. 
Очень больно, Народа нет.
Он заглотнут. Сплошная пасть.
Зубы,
Мясо, 
Затменье. 
Власть. 
2. Після неба в димовій імлі
з чаду від облудливого «браття»
вашим дітям жити на Землі
і ходити з таврами прокляття. 
Гляньте в люстро спадку їм свого: 
вам цього хотілося. 
Цього!!! 
(ніч з 21 на 22 лютого, Київ)","Вірші мого батька, Станіслава Чернілевського, під враженням від останніх новин.  Россиянам  1. С подворотни — в “нео-мессии»: замечательный разворот. Мне казалось, что есть в России Кроме власти, живой народ. Но кастрирован Интернет.  Очень больно, Народа нет. Он заглотнут. Сплошная пасть. Зубы, Мясо,  Затменье.  Власть.  2. Після неба в димовій імлі з чаду від облудливого «браття» вашим дітям жити на Землі і ходити з таврами прокляття.  Гляньте в люстро спадку їм свого:  вам цього хотілося.  Цього!!!  ","{'future', 'politics', 'religion', 'legacy', 'neo-messiah', 'russia', 'war', 'government'}","[('прокляття', 0.3565), ('хотілося', 0.2948), ('замечательный', 0.2801), ('сплошная', 0.2757), ('дітям', 0.2587)]","['прокляття', 'хотілося', 'замечательный', 'сплошная', 'дітям']","['curse', 'wanted to', 'wonderful', 'solid', 'to children']"
675,752,Julia Musakovska,Ukrainian,"* * *
Замість рота у ката — лілія,
біла, задушлива і бездонна.
Обертається — і бачу пітьму 
у його горлянці.
Атракціон, на якому 
захлинаюся блювотинням.
Я тримала цю лілію за стебло,
ката — за горло.
Голіруч рила землю,
аби вибрати все коріння,
зміїне кубло.
А воно вислизало крізь пальці.
Воно завжди 
вислизає в останню мить,
найтемнішу
перед світанком,
аби завтра знову
розпуститися
під колискою.
#БогСвободи
Ілюстрація Анастасії Старко /Anna Lee/
","* * * Замість рота у ката — лілія, біла, задушлива і бездонна. Обертається — і бачу пітьму  у його горлянці. Атракціон, на якому  захлинаюся блювотинням. Я тримала цю лілію за стебло, ката — за горло. Голіруч рила землю, аби вибрати все коріння, зміїне кубло. А воно вислизало крізь пальці. Воно завжди  вислизає в останню мить, найтемнішу перед світанком, аби завтра знову розпуститися під колискою.  Ілюстрація Анастасії Старко /Anna Lee/ ","{'lily', 'plants'}","[('найтемнішу', 0.437), ('захлинаюся', 0.3754), ('блювотинням', 0.3474), ('ілюстрація', 0.3041), ('пітьму', 0.2992)]","['найтемнішу', 'захлинаюся', 'блювотинням', 'ілюстрація', 'пітьму']","['the darkest', 'I choke', 'vomiting', 'illustration', 'darkness']"
676,753,Kateryna Kalytko,Ukrainian,"Отже, саме тепер.
Синє та бурштинове храмове світло
кришиться об твою постать.
Молитва про силу зброї. 
Досі
я два роки не заходила в церкву. 
Латунь тут відполірована, 
як моя недовіра. 
Саме пора
поміркувати про надмірну, задушливу
сердечну ощадливість, про
острах розтратити більше себе, 
ніж передбачає стандартна пайка,
про слова, що спізнюються,
про розколотий обладунок, 
з якого в'язко тече 
жовток довіри, несуджений згусток життя,
про леткі ефіри пам'яті, 
про наші дзвінкі та крихкі хребти. 
Я завжди заговорюю першою й затинаюся:
власний голос раптом здається мені дитячим.
Називаю тобі речі на імена, немов
незнайомцю на КПП простягаю паспорт.
Ти стоїш усередині променя, 
перед очима, горбишся
як обгорілий сірник.
* * *
Сусід, що згорів у Дебальцевському котлі – 
молодий, щиросердний, красивий – 
таким і наснився. 
Сірий літній костюм, цивільний.
Невеличка валізка. 
Біля автівки у батьківському подвір'ї
стояв, дивився на вікна і усміхався. 
Щоразу повітря іскрилося, коли усміхався. 
Зараз так само.
Лише неясно було,
чи це він приїхав, чи від'їжджає.
Аж тепер увиразнилося:
з того боку
скликано на збори ангелів-резервістів.
#скляні_коліна","Отже, саме тепер. Синє та бурштинове храмове світло кришиться об твою постать. Молитва про силу зброї.  Досі я два роки не заходила в церкву.  Латунь тут відполірована,  як моя недовіра.  Саме пора поміркувати про надмірну, задушливу сердечну ощадливість, про острах розтратити більше себе,  ніж передбачає стандартна пайка, про слова, що спізнюються, про розколотий обладунок,  з якого в'язко тече  жовток довіри, несуджений згусток життя, про леткі ефіри пам'яті,  про наші дзвінкі та крихкі хребти.  Я завжди заговорюю першою й затинаюся: власний голос раптом здається мені дитячим. Називаю тобі речі на імена, немов незнайомцю на КПП простягаю паспорт. Ти стоїш усередині променя,  перед очима, горбишся як обгорілий сірник. * * * Сусід, що згорів у Дебальцевському котлі –  молодий, щиросердний, красивий –  таким і наснився.  Сірий літній костюм, цивільний. Невеличка валізка.  Біля автівки у батьківському подвір'ї стояв, дивився на вікна і усміхався.  Щоразу повітря іскрилося, коли усміхався.  Зараз так само. Лише неясно було, чи це він приїхав, чи від'їжджає. Аж тепер увиразнилося: з того боку скликано на збори ангелів-резервістів. ","{'loss', 'life', 'passport', 'trust', 'border'}","[('ощадливість', 0.4976), ('розколотий', 0.3903), ('резервістів', 0.3524), ('простягаю', 0.2919), ('усміхався', 0.2788)]","['ощадливість', 'розколотий', 'резервістів', 'простягаю', 'усміхався']","['thrift', 'riven', 'reservists', 'I stretch', 'was smiling']"
677,754,Stanislav Chernilevsky,Ukrainian,"Вірші мого батька, Станіслава Чернілевського, під враженням від останніх новин. 
Россиянам 
1. С подворотни — в “нео-мессии»: замечательный разворот.
Мне казалось, что есть в России
Кроме власти, живой народ.
Но кастрирован Интернет. 
Очень больно, Народа нет.
Он заглотнут. Сплошная пасть.
Зубы,
Мясо, 
Затменье. 
Власть. 
2. Після неба в димовій імлі
з чаду від облудливого «браття»
вашим дітям жити на Землі
і ходити з таврами прокляття. 
Гляньте в люстро спадку їм свого: 
вам цього хотілося. 
Цього!!! 
(ніч з 21 на 22 лютого, Київ)
","Вірші мого батька, Станіслава Чернілевського, під враженням від останніх новин.  Россиянам  1. С подворотни — в “нео-мессии»: замечательный разворот. Мне казалось, что есть в России Кроме власти, живой народ. Но кастрирован Интернет.  Очень больно, Народа нет. Он заглотнут. Сплошная пасть. Зубы, Мясо,  Затменье.  Власть.  2. Після неба в димовій імлі з чаду від облудливого «браття» вашим дітям жити на Землі і ходити з таврами прокляття.  Гляньте в люстро спадку їм свого:  вам цього хотілося.  Цього!!!   ","{'digital', 'internet', 'religion', 'neo-messiah', 'russia', 'power'}","[('прокляття', 0.3565), ('хотілося', 0.2948), ('замечательный', 0.2801), ('сплошная', 0.2757), ('дітям', 0.2587)]","['прокляття', 'хотілося', 'замечательный', 'сплошная', 'дітям']","['curse', 'wanted to', 'wonderful', 'continuous', 'to children']"
690,777,Julia Musakovska,Ukrainian,"UPD: Пишуть, що захисники Зміїного - живі!! Вболіваємо за їхнє найшвидше визволення із мордорського полону 🇺🇦
Вірш 2017 року, згадала сьогодні і заклякла.
*** 
кулі дощу вдаряють об дах 
під дих: 
що тобі сниться поете теплого тилу 
злива голосить за ними 
про них 
тих- 
о 
згасло життя 
наче пір'ячко полетіло 
пальці розламують хліб 
скручують у ріг 
ліг — і чекаєш пришестя 
яке не настане
знову ятряться лампадки уздовж доріг 
п'явки чорних стрічок знекровлюють стяги 
вервечка із бабусиних квасолин 
батькові теплі шкарпетки з кусючої вовни 
ним 
тілом своїм 
нову міситиме глину 
із пробитих човнів ротом черпатиме воду 
хто ти 
з поглядом 
болючішим від прута 
новонароджений 
ув'язнений в однострій 
непоказна 
іграшкова фігурка з металу 
впала зі столу 
пробила діру в земній корі
#StandWithUkraine 
Ілюстрація Oleksandr Grekhov","UPD: Пишуть, що захисники Зміїного - живі!! Вболіваємо за їхнє найшвидше визволення із мордорського полону 🇺🇦 Вірш 2017 року, згадала сьогодні і заклякла. ***  кулі дощу вдаряють об дах  під дих:  що тобі сниться поете теплого тилу  злива голосить за ними  про них  тих-  о  згасло життя  наче пір'ячко полетіло  пальці розламують хліб  скручують у ріг  ліг — і чекаєш пришестя  яке не настане знову ятряться лампадки уздовж доріг  п'явки чорних стрічок знекровлюють стяги  вервечка із бабусиних квасолин  батькові теплі шкарпетки з кусючої вовни  ним  тілом своїм  нову міситиме глину  із пробитих човнів ротом черпатиме воду  хто ти  з поглядом  болючішим від прута  новонароджений  ув'язнений в однострій  непоказна  іграшкова фігурка з металу  впала зі столу  пробила діру в земній корі   Ілюстрація Oleksandr Grekhov","{'poetry', 'war', 'childhood', 'father', 'earth'}","[('знекровлюють', 0.4653), ('скручують', 0.4389), ('вболіваємо', 0.3724), ('іграшкова', 0.3271), ('непоказна', 0.3024)]","['знекровлюють', 'скручують', 'вболіваємо', 'іграшкова', 'непоказна']","['exsanguinate', 'twist', 'cheering', 'toy', 'inconspicuous']"
691,778,Aleksandra Smilianskaia,Russian,"Кто-то, конечно, хороший, но он не готов
сесть в автозак, а кому и Голгофа – не плаха. 
Разница в принципах, в принципе, только пять слов:
Русский военный корабль, иди нахуй. 
Голос из трубки спокоен, прерывист и глух:
«Мама, я в шапке, взяла документы, нет страха». 
Дочка сегодня заснула в метро на полу.
Русский военный корабль, иди нахуй. 
Если действительно хочешь для нашей земли
что-то хорошее – вон огород перепахан.
Зерна в карман положи, чтоб они проросли.
Русский военный корабль, иди нахуй. 
Здесь возле арты чечен, беларус и казах,
Тут верят в Будду и Ктулху, в Христа и Аллаха.
Новые фрески распишем на новых церквях:
«Русский военный корабль, иди нахуй».
Этой империи нужен и Киев, и Крым.
Может быть я никогда не дождусь ее краха,
Но, будь уверен, мой правнук при встрече с твоим
Скажет: ты русский? 
Окей. 
Иди нахуй. 
Автор (с) Александра Смилянская","Кто-то, конечно, хороший, но он не готов сесть в автозак, а кому и Голгофа – не плаха.  Разница в принципах, в принципе, только пять слов: Русский военный корабль, иди нахуй.  Голос из трубки спокоен, прерывист и глух: «Мама, я в шапке, взяла документы, нет страха».  Дочка сегодня заснула в метро на полу. Русский военный корабль, иди нахуй.  Если действительно хочешь для нашей земли что-то хорошее – вон огород перепахан. Зерна в карман положи, чтоб они проросли. Русский военный корабль, иди нахуй.  Здесь возле арты чечен, беларус и казах, Тут верят в Будду и Ктулху, в Христа и Аллаха. Новые фрески распишем на новых церквях: «Русский военный корабль, иди нахуй». Этой империи нужен и Киев, и Крым. Может быть я никогда не дождусь ее краха, Но, будь уверен, мой правнук при встрече с твоим Скажет: ты русский?  Окей.  Иди нахуй.  Автор  Александра Смилянская","{'golgotha', 'russia', 'kyiv', 'crimea', 'imperialism', 'war', 'profanity'}","[('хочешь', 0.3832), ('твоим', 0.2552), ('дождусь', 0.2536), ('ктулху', 0.2376), ('хорошее', 0.2317)]","['хочешь', 'твоим', 'дождусь', 'ктулху', 'хорошее']","['Want', 'yours', 'wait', 'Cthulhu', 'good']"
