,ID,poem_author,language,original_poem,light_clean_poem,theme
43,45,Boris Khersonsky,Russian,"**

Говорят, в эту ночь вся вода свята,
и стоит в реке подо льдом
первозданная чернота,
как под белою крышей дом.

Душе навстречу плывет, не спеша,
рыба-ихтиос - символ Христа,
и если не встретит ее душа,
то дальше плывет пуста.

Свисает из проруби леска с крючком,
левее расставлена сеть.
Семенят по снегу священник с дьячком
над прорубью славу петь.

Что море увиде и побеже,
Иордан обратися вспять,
зимы половина прошла уже,
но тому, кто упал - не встать.

Мир лежит во зле средь пустых лесов,
плохо скроен, да крепко сшит.
Вечность заперта на засов
и никто отпирать не спешит.

18-19.02.08 See less","**  Говорят, в эту ночь вся вода свята, и стоит в реке подо льдом первозданная чернота, как под белою крышей дом.  Душе навстречу плывет, не спеша, рыба-ихтиос - символ Христа, и если не встретит ее душа, то дальше плывет пуста.  Свисает из проруби леска с крючком, левее расставлена сеть. Семенят по снегу священник с дьячком над прорубью славу петь.  Что море увиде и побеже, Иордан обратися вспять, зимы половина прошла уже, но тому, кто упал - не встать.  Мир лежит во зле средь пустых лесов, плохо скроен, да крепко сшит. Вечность заперта на засов и никто отпирать не спешит.  18-19.02.08 ","{'ekphrasis', 'jesus', 'poetic form', 'bodies of water'}"
44,46,Boris Khersonsky,Russian,"***
Те, кто думают, что Христос крестился в Москве-реке,
в крестообразной проруби, с трехцветным флагом в руке,
кто верит в то, что народ благодать обрел,
когда на него с небес спустился двуглавый орел,

те могут строить Империю на болтах и железных штырях,
скакать по степи на конях с огнем в глазах и ноздрях,
летать по небу на легких истребителях типа МИГ,
носить почетные звания вместо железных вериг.

И Империя будет стоять, как мы устоять не могли,
как штык торчащий из мерзлой послевоенной земли,
как ржавый ненужный трактор на колхозном поле зимой,
как впавший в детство Улисс, не нашедший дорогу домой.","*** Те, кто думают, что Христос крестился в Москве-реке, в крестообразной проруби, с трехцветным флагом в руке, кто верит в то, что народ благодать обрел, когда на него с небес спустился двуглавый орел,  те могут строить Империю на болтах и железных штырях, скакать по степи на конях с огнем в глазах и ноздрях, летать по небу на легких истребителях типа МИГ, носить почетные звания вместо железных вериг.  И Империя будет стоять, как мы устоять не могли, как штык торчащий из мерзлой послевоенной земли, как ржавый ненужный трактор на колхозном поле зимой, как впавший в детство Улисс, не нашедший дорогу домой.","{'christianity', 'empire', 'moscow', 'imperialism', 'jesus'}"
46,48,Boris Khersonsky,Russian,"***
В сущности, нет ничего, кроме детства, даже сущности нет,
тем более - формы и частностей, вроде галактик или ближних планет,
или пустот, отраженных в обсерваториях, в тысячах страшных зеркал.
Человек искал бесконечности. Наконец-то нашел, что искал.

И что теперь делать с этим ужасом, как с этим жить, скажи,
если есть только детство, парк, по тропкам топочущие ежи,
запах сирени в мае, горка, чешский хрусталь,
роман Островского ""Как закалялась сталь"".

Монпасье в жестянке или вязкая карамель,
и волшебные щуки - хватит на всех Емель,
и тир в подвале - тут попадают в цель.
Кто не знает, цель это плоский-пестрый зверек,

по зверьку щелкает пулька, он заваливается вбок,
еще три пульки положены в спичечный коробок.
Кто не знает, зимой вода превращается в лед.
Кто не знает, ""форвард"" по русски значит - ""вперед"".
Кто не знает, когда мы вырастем, никто уже не умрет.
январь 2010","*** В сущности, нет ничего, кроме детства, даже сущности нет, тем более - формы и частностей, вроде галактик или ближних планет, или пустот, отраженных в обсерваториях, в тысячах страшных зеркал. Человек искал бесконечности. Наконец-то нашел, что искал.  И что теперь делать с этим ужасом, как с этим жить, скажи, если есть только детство, парк, по тропкам топочущие ежи, запах сирени в мае, горка, чешский хрусталь, роман Островского ""Как закалялась сталь"".  Монпасье в жестянке или вязкая карамель, и волшебные щуки - хватит на всех Емель, и тир в подвале - тут попадают в цель. Кто не знает, цель это плоский-пестрый зверек,  по зверьку щелкает пулька, он заваливается вбок, еще три пульки положены в спичечный коробок. Кто не знает, зимой вода превращается в лед. Кто не знает, ""форвард"" по русски значит - ""вперед"". Кто не знает, когда мы вырастем, никто уже не умрет. январь 2010","{'army', 'freedom', 'uniforms'}"
51,53,Arkadii Shtypel,Russian,"стишок:
*
весна короткометражка
осень сороконожка
чрез пень-колоду
выпадает фишка
то подмерзнет
то оттает
то накатит
то отхлынет
ай да пушкин!",стишок: * весна короткометражка осень сороконожка чрез пень-колоду выпадает фишка то подмерзнет то оттает то накатит то отхлынет ай да пушкин!,"{'literature', 'pushkin'}"
58,61,Hrytsko Chubai,Ukrainian,"Грицько Чубай (якому нині виповнилося б 65 років)
Двері
двері зачиняються і відчиняються
двері відчиняються і зачиняються
рип-рип
рип-рип
то ми виходимо з хати
то ми приходимо до хати
рип-рип
рип-рип
і дивиться пташка крізь вікно в акваріум хати
і думає про нас
як про риб",Грицько Чубай  Двері двері зачиняються і відчиняються двері відчиняються і зачиняються рип-рип рип-рип то ми виходимо з хати то ми приходимо до хати рип-рип рип-рип і дивиться пташка крізь вікно в акваріум хати і думає про нас як про риб,"{'door', 'aquarium', 'poetic form', 'house'}"
59,62,Marianna Kijanowska,Ukrainian,"шелест снігу як кожен сніг
у падінні збиває з ніг
з тихим свистом збиває з ніг
куля снайпера навідліг

куля снайпера як жива
криги чорна німа жорства
і у горлі дрижать слова
і молитва у кров сплива

беркут наче голодний крук
відшматовує кисті рук
та сплітаються сотні рук
і гримить барикадний стук

між засніжених барикад
кожен - рідний і кожен - брат
чорно-чорні стоять у ряд 
і немає шляху назад

на майдані одна ціна
на майдані одна вина
на майдані одна війна
дорога і страшна",шелест снігу як кожен сніг у падінні збиває з ніг з тихим свистом збиває з ніг куля снайпера навідліг  куля снайпера як жива криги чорна німа жорства і у горлі дрижать слова і молитва у кров сплива  беркут наче голодний крук відшматовує кисті рук та сплітаються сотні рук і гримить барикадний стук  між засніжених барикад кожен - рідний і кожен - брат чорно-чорні стоять у ряд  і немає шляху назад  на майдані одна ціна на майдані одна вина на майдані одна війна дорога і страшна,"{'barricades', 'snipers', 'snow', 'berkut', 'maidan'}"
64,67,Maria Galina,Russian,"смотри, дурачок, не свое кино,
таращась во все глаза,
но против мы с тобой или за,
им в общем-то все равно.
А после того, как благую весть
услышат они с небес,
нам скажут - вас не стояло здесь.
И нас не стояло здесь.","смотри, дурачок, не свое кино, таращась во все глаза, но против мы с тобой или за, им в общем-то все равно. А после того, как благую весть услышат они с небес, нам скажут - вас не стояло здесь. И нас не стояло здесь.","{'loss', 'presence', 'russia', 'theater', 'movies', 'absence'}"
70,73,Boris Khersonsky,Russian,"***
Посмотрите-ка - этот подлец
захотел утопить меня в своей ненависти,
как слепого котенка.
А я прозрел и выплыл.

Правда, вот, наглотался ярости,
пока барахтался.

Стою, сжимаю кулаки. озираюсь по сторонам.
Где это гад, куда он подевался?
И вправду, куда подевался?

Спрятался внутри меня, выродок,
вместе со своею злобой.

выкрутился, значит.

11 апреля 2012","*** Посмотрите-ка - этот подлец захотел утопить меня в своей ненависти, как слепого котенка. А я прозрел и выплыл.  Правда, вот, наглотался ярости, пока барахтался.  Стою, сжимаю кулаки. озираюсь по сторонам. Где это гад, куда он подевался? И вправду, куда подевался?  Спрятался внутри меня, выродок, вместе со своею злобой.  выкрутился, значит.  11 апреля 2012","{'drowning', 'psychology', 'hatred'}"
76,79,Marianna Savka,Ukrainian,"Мій Господи, ти, наковтавшись прогірклого диму,
В пітьмі й у пожежі, та, зрозуміло, без каски,
Стоїш за плечима в синів найдорожчих – незримо –
Щоб руки простерти, якщо їм судилося впасти.
Ще рано гасити це полум’я, Господи, рано,
Згортати знамена у мороку зла позасвітнього,
Бо зрада – ти добре це знаєш, ще глибша за рану,
Бо смерть у прицілі найкраще відстежує світлих.
Ти просто там стій. І тримай на долоні своїй
Запалене місто-свічу, серед снігу і диму,
Якщо тебе хтось не впізнає, дай знак, що ти свій,
Що завжди стоятимеш поруч з синами своїми.","Мій Господи, ти, наковтавшись прогірклого диму, В пітьмі й у пожежі, та, зрозуміло, без каски, Стоїш за плечима в синів найдорожчих – незримо – Щоб руки простерти, якщо їм судилося впасти. Ще рано гасити це полум’я, Господи, рано, Згортати знамена у мороку зла позасвітнього, Бо зрада – ти добре це знаєш, ще глибша за рану, Бо смерть у прицілі найкраще відстежує світлих. Ти просто там стій. І тримай на долоні своїй Запалене місто-свічу, серед снігу і диму, Якщо тебе хтось не впізнає, дай знак, що ти свій, Що завжди стоятимеш поруч з синами своїми.","{'smoke', 'christianity', 'burning', 'god', 'prayer', 'city', 'maidan'}"
81,84,Andriy Lyubka,Ukrainian,"Уявляєш, я так скучив, що перечитав
усі відкриті листи до уряду і міжнародних організацій,
які ти підписала.
Свобода слова, політичні репресії чи навіть глобальне потепління –
я перечитав усе.
Лежу чи сиджу, читаю, намагаюся думати.
будь-який асоціативний ряд закінчується твоєю піхвою:
починаю думати про мандарини, а закінчую твоєю піхвою;
згадую уряд чи розклад руху потягів, а закінчую твоєю піхвою.
Це неможливо, у це годі повірити –
можеш відважити мені ляпаса або не брати слухавку,
але я думаю про молекулярну фізику, а потім –
ну ви здогадалися, вся ця парадигма асоціацій –
будова всесвіту, безмежність, зірки, польоти на Місяць,
Штати, макдональдс і винахід інтернету, і-мейли, на які не встиг відповісти,
стара добра Європа, війни і любовні інтриги, пошта на конях,
паперові листи, зализування конвертів, марок – і твоя піхва.
Або геть по-іншому: сніг за вікном, світло фар, стишена музика
у салоні автомобіля, от не забути б зарядити плеєр,
врешті знайти шнур, навести лад у шафі, викинути все непотрібне
к бісовій матері, пекло, вогонь і вода, як же тут гаряче,
Єронім Бош, крики – і твоя піхва,
хоч це й неможливо, хоч у це й годі повірити.
Думаю про все це, а ти, напевно, все підписуєш відкриті листи
до уряду і міжнародних організацій.
Перечитаю все, аби хоч у такий спосіб спробувати бути ближче
саме тепер, цієї миті, коли ти, засинаючи, скручуєшся калачиком.","Уявляєш, я так скучив, що перечитав усі відкриті листи до уряду і міжнародних організацій, які ти підписала. Свобода слова, політичні репресії чи навіть глобальне потепління – я перечитав усе. Лежу чи сиджу, читаю, намагаюся думати. будь-який асоціативний ряд закінчується твоєю піхвою: починаю думати про мандарини, а закінчую твоєю піхвою; згадую уряд чи розклад руху потягів, а закінчую твоєю піхвою. Це неможливо, у це годі повірити – можеш відважити мені ляпаса або не брати слухавку, але я думаю про молекулярну фізику, а потім – ну ви здогадалися, вся ця парадигма асоціацій – будова всесвіту, безмежність, зірки, польоти на Місяць, Штати, макдональдс і винахід інтернету, і-мейли, на які не встиг відповісти, стара добра Європа, війни і любовні інтриги, пошта на конях, паперові листи, зализування конвертів, марок – і твоя піхва. Або геть по-іншому: сніг за вікном, світло фар, стишена музика у салоні автомобіля, от не забути б зарядити плеєр, врешті знайти шнур, навести лад у шафі, викинути все непотрібне к бісовій матері, пекло, вогонь і вода, як же тут гаряче, Єронім Бош, крики – і твоя піхва, хоч це й неможливо, хоч у це й годі повірити. Думаю про все це, а ти, напевно, все підписуєш відкриті листи до уряду і міжнародних організацій. Перечитаю все, аби хоч у такий спосіб спробувати бути ближче саме тепер, цієї миті, коли ти, засинаючи, скручуєшся калачиком.","{'government', 'letters', 'sex', 'dailiness', 'associational'}"
